,num_dol,num_tfep,num_tfsi,num_ps,num_li,atoms_dol,atoms_tfep,atoms_tfsi,atoms_ps,atoms_li,count,%
1932,3,0,3,2,2,:1O:1O,,1N1O1S:1O:1O,1S:1S:1S:1S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
1933,3,0,3,2,2,:1O:1O,,1N1O1S:1O:1O1S,2S:2S:2S:2S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
1934,3,0,3,2,2,:1O:1O,,1N1O1S:1O:2O1S,2S:2S:2S:2S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
1935,3,0,3,2,2,:1O:1O,,1O1S:1O1S:1O1S,1S:1S:1S:1S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
1936,3,0,3,2,2,:1O:1O,,1O:1O1S:2O,1S:1S:1S:1S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
1937,3,0,3,2,2,:1O:1O,,1O:1O1S:2O,2S:2S:2S:2S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
1938,3,0,3,2,2,:1O:1O,,1O:1O:1O,1S:1S:1S:1S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
1939,3,0,3,2,2,:1O:1O,,1O:1O:1O,2S:2S:2S:3S:3S:3S:3S:3S,1L:1L,1,0.03000300030003
1940,3,0,3,2,2,:1O:1O,,1O:1O:1O,3S:3S:3S:3S:3S:4S:4S:4S,1L:1L,1,0.03000300030003
1941,3,0,3,2,2,:1O:1O,,1O:1O:2O,2S:2S:2S:2S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
1942,3,0,3,1,2,1O:1O:1O,,1N1O:1N1O1S:1O,,1L:1L,1,0.03000300030003
1943,3,0,3,1,2,1O:1O:1O,,1N1O1S:1O1S:1O1S,,1L:1L,1,0.03000300030003
1944,3,0,2,2,2,1O:1O:2O,,1N3O2S:2O1S,2S:2S:2S:3S:3S:4S:4S:4S,1L:1L,1,0.03000300030003
1945,3,0,2,2,2,:1O:1O,,1O:2O,1S:1S:2S:2S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
1946,3,0,2,2,2,:1O:1O,,1O:2O1S,1S:2S:2S:2S:3S:3S:3S:4S,1L:1L,1,0.03000300030003
1947,3,0,2,2,2,:1O:1O,,1O:2O2S,2S:2S:2S:2S:2S:2S:3S:3S,1L:1L,1,0.03000300030003
1948,3,0,2,2,2,:1O:1O,,1O:3O2S,1S:1S:1S:1S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
1949,3,0,2,2,2,:1O:2O,,1N2O1S:2O,2S:2S:2S:2S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
1950,3,0,2,2,2,:1O:2O,,1N3O2S:1O,2S:2S:2S:2S:2S:2S:3S:3S,1L:1L,1,0.03000300030003
1951,3,0,2,2,3,1O:1O:1O,,1N1O1S:1O,1S:1S:1S:2S:3S:3S:3S:3S,1L:1L:1L,1,0.03000300030003
1952,3,0,2,2,3,1O:1O:1O,,1O1S:2O1S,1S:1S:1S:2S:3S:3S:3S:3S,1L:1L:1L,1,0.03000300030003
1953,3,0,2,2,3,1O:1O:2O,,1N3O2S:2O1S,1S:1S:1S:2S:3S:3S:3S:3S,1L:1L:1L,1,0.03000300030003
1954,3,0,2,2,3,1O:1O:2O,,2O1S:2O1S,1S:1S:1S:2S:3S:3S:3S:3S,1L:1L:1L,1,0.03000300030003
1955,3,0,2,2,3,1O:1O:2O,,2O1S:2O1S,2S:2S:3S:3S:3S:3S:3S:3S,1L:1L:1L,1,0.03000300030003
1956,3,0,2,2,3,1O:1O:2O,,:2O,1S:2S:3S:3S:4S:4S:4S:5S,1L:1L:1L,1,0.03000300030003
1957,3,0,2,2,3,:1O:1O,,1O1S:1O1S,1S:2S:2S:2S:3S:3S:3S:4S,1L:1L:1L,1,0.03000300030003
1958,3,0,2,2,3,:1O:1O,,1O:1O,1S:2S:2S:2S:3S:3S:3S:4S,1L:1L:1L,1,0.03000300030003
1959,3,0,2,2,3,:1O:1O,,1O:2O,1S:2S:2S:2S:3S:3S:3S:4S,1L:1L:1L,1,0.03000300030003
1960,3,0,2,2,3,:1O:1O,,1O:2O,1S:2S:2S:2S:3S:4S:4S:4S,1L:1L:1L,1,0.03000300030003
1961,3,0,2,2,2,:1O:1O,,1O:2O,2S:2S:2S:2S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
1962,3,0,2,2,2,:1O:1O,,1O:1O1S,2S:2S:2S:2S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
1963,3,0,2,2,3,:1O:1O,,1O:2O2S,1S:2S:3S:3S:4S:4S:4S:5S,1L:1L:1L,1,0.03000300030003
1964,3,0,2,2,2,:1O:1O,,1O1S:2O1S,3S:3S:3S:3S:3S:3S:3S:3S,1L:1L,1,0.03000300030003
1965,3,0,2,2,2,1O:1O:2O,,1O1S:2O,2S:2S:3S:3S:3S:3S:3S:3S,1L:1L,1,0.03000300030003
