,num_dol,num_tfepe,num_tfsi,num_ps,num_li,atoms_dol,atoms_tfepe,atoms_tfsi,atoms_ps,atoms_li,count,%
2272,4,0,1,3,2,1O:1O:1O:2O,,,2S:2S:2S:2S:2S:3S:3S:3S:3S:3S:3S:3S:3S:4S:4S:4S,1L:1L,1,0.03000300030003
2273,4,0,1,3,2,1O:1O:1O:2O,,,1S:1S:1S:1S:1S:1S:1S:2S:2S:2S:2S:3S:3S:4S:4S:4S,1L:1L,1,0.03000300030003
2274,4,0,1,3,2,1O:1O:1O:1O,,2O,2S:2S:2S:2S:2S:2S:2S:2S:2S:2S:3S:3S:3S:3S:3S:3S,1L:1L,1,0.03000300030003
2275,4,0,1,3,2,1O:1O:1O:1O,,2O,1S:1S:1S:1S:2S:2S:2S:2S:2S:2S:2S:2S:2S:2S:2S:3S,1L:1L,1,0.03000300030003
2276,4,0,1,3,2,1O:1O:1O:1O,,1O,::::1S:1S:2S:2S:2S:2S:2S:2S:2S:2S:3S:3S,1L:1L,1,0.03000300030003
2277,4,0,1,3,2,1O:1O:1O:1O,,1O,:1S:1S:1S:1S:1S:1S:1S:1S:1S:2S:2S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
2278,4,0,1,3,2,1O:1O:1O:1O,,1O,2S:2S:2S:2S:2S:2S:3S:3S:3S:3S:3S:3S:3S:3S:3S:3S,1L:1L,1,0.03000300030003
2279,4,0,2,1,2,:1O:1O:1O,,1O:3O1S,,1L:1L,1,0.03000300030003
2280,4,0,2,1,2,:1O:1O:1O,,2O:3O1S,,1L:1L,1,0.03000300030003
2281,4,0,2,2,2,::1O:1O,,1O:1O1S,2S:3S:3S:3S:3S:3S:4S:4S,1L:1L,1,0.03000300030003
2282,4,0,2,2,2,:1O:1O:1O,,1N3O2S:1O1S,1S:1S:1S:1S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
2283,4,0,2,2,2,:1O:1O:1O,,1N2O1S:1O,1S:2S:2S:2S:2S:3S:3S:3S,1L:1L,1,0.03000300030003
2284,4,0,2,2,2,:1O:1O:1O,,1N2O2S:1O,:::1S:1S:2S:2S:2S,1L:1L,1,0.03000300030003
2285,4,0,2,2,2,:1O:1O:1O,,1N2O2S:1O1S,1S:1S:1S:1S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
2286,4,0,2,2,2,:1O:1O:1O,,1N3O1S:1O1S,1S:1S:1S:1S:2S:3S:3S:3S,1L:1L,1,0.03000300030003
2287,4,0,2,2,2,:1O:1O:1O,,1N3O2S:1O,1S:1S:1S:1S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
2288,4,0,2,2,2,:1O:1O:1O,,1N3O2S:1O,2S:2S:2S:2S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
2289,4,0,2,2,2,:1O:1O:1O,,1N4O2S:1O,1S:1S:1S:1S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
2290,4,0,2,2,2,1O:1O:1O:1O,,:1O,2S:3S:4S:4S:4S:4S:4S:4S,1L:1L,1,0.03000300030003
2291,4,0,2,2,2,:1O:1O:1O,,1O1S:1O1S,1S:1S:1S:1S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
2292,4,0,2,2,2,:1O:1O:1O,,1O1S:2O,1S:1S:1S:1S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
2293,4,0,2,2,2,:1O:1O:1O,,1O1S:2O1S,:::1S:1S:2S:2S:2S,1L:1L,1,0.03000300030003
2294,4,0,2,2,2,:1O:1O:1O,,1O1S:3O2S,1S:1S:1S:1S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
2295,4,0,2,2,2,:1O:1O:1O,,1O:1O,1S:1S:1S:1S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
2296,4,0,2,2,2,:1O:1O:1O,,1O:1O,1S:1S:1S:1S:2S:3S:3S:3S,1L:1L,1,0.03000300030003
2297,4,0,2,2,2,:1O:1O:1O,,1N1O:1O,1S:1S:1S:1S:2S:2S:2S:3S,1L:1L,1,0.03000300030003
2298,4,0,2,2,2,:1O:1O:1O,,1N1O1S:3O1S,:::1S:1S:2S:2S:2S,1L:1L,1,0.03000300030003
2299,4,0,2,2,2,:1O:1O:1O,,1N1O1S:2O,2S:2S:2S:2S:2S:2S:3S:3S,1L:1L,1,0.03000300030003
2300,4,0,2,2,2,:1O:1O:1O,,1N1O1S:1O1S,:::1S:1S:2S:2S:2S,1L:1L,1,0.03000300030003
2301,4,0,2,2,2,:1O:1O:1O,,1N1O1S:1O,1S:1S:1S:1S:2S:2S:2S:3S,1L:1L,1,0.03000300030003
2302,4,0,2,2,2,1O:1O:1O:2O,,:1O1S,:::1S:1S:2S:2S:2S,1L:1L,1,0.03000300030003
2303,4,0,2,2,2,1O:1O:1O:2O,,2O1S:3O1S,1S:1S:1S:2S:2S:2S:2S:3S,1L:1L,1,0.03000300030003
2304,4,0,2,2,2,1O:1O:1O:2O,,1O:3O1S,2S:2S:2S:2S:3S:3S:3S:3S,1L:1L,1,0.03000300030003
2305,4,0,2,2,2,1O:1O:1O:2O,,1O:2O,1S:1S:1S:1S:2S:3S:3S:3S,1L:1L,1,0.03000300030003
2306,4,0,2,2,2,1O:1O:1O:2O,,1O:2O,1S:1S:1S:1S:2S:2S:2S:3S,1L:1L,1,0.03000300030003
2307,4,0,2,2,2,1O:1O:1O:2O,,1O:1O1S,2S:2S:2S:2S:2S:2S:2S:3S,1L:1L,1,0.03000300030003
2308,4,0,2,2,2,1O:1O:1O:2O,,1O:1O,2S:2S:2S:2S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
2309,4,0,2,2,2,1O:1O:1O:2O,,1O:1O,1S:2S:2S:2S:2S:2S:2S:3S,1L:1L,1,0.03000300030003
2310,4,0,2,2,2,1O:1O:1O:1O,,:3O1S,1S:1S:2S:2S:3S:3S:3S:3S,1L:1L,1,0.03000300030003
2311,4,0,2,2,2,1O:1O:1O:1O,,:2O1S,2S:3S:3S:3S:3S:3S:4S:4S,1L:1L,1,0.03000300030003
2312,4,0,2,2,2,1O:1O:1O:1O,,:2O,2S:2S:2S:2S:2S:2S:3S:3S,1L:1L,1,0.03000300030003
2313,4,0,2,2,2,1O:1O:1O:1O,,:1O1S,2S:2S:2S:3S:3S:3S:3S:3S,1L:1L,1,0.03000300030003
2314,4,0,2,2,2,:1O:1O:1O,,1O:1O,1S:2S:2S:2S:3S:4S:4S:4S,1L:1L,1,0.03000300030003
2315,4,0,2,2,2,:1O:1O:1O,,1O:1O,2S:2S:2S:2S:2S:2S:2S:3S,1L:1L,1,0.03000300030003
2316,4,0,2,2,2,:1O:1O:1O,,1O:1O,:::1S:1S:2S:2S:2S,1L:1L,1,0.03000300030003
2317,4,0,2,2,2,:1O:1O:1O,,:3O1S,2S:2S:2S:2S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
2318,4,0,2,2,2,::1O:1O,,1O:1O1S,1S:1S:1S:1S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
2319,4,0,2,2,2,::1O:1O,,1O:1O,2S:3S:4S:4S:4S:4S:5S:5S,1L:1L,1,0.03000300030003
2320,4,0,2,2,2,::1O:1O,,1O:1O,2S:2S:3S:3S:3S:3S:3S:3S,1L:1L,1,0.03000300030003
2321,4,0,2,2,2,::1O:1O,,1O:1O,1S:2S:3S:3S:4S:4S:4S:5S,1L:1L,1,0.03000300030003
2322,4,0,2,2,2,::1O:1O,,1O1S:2O1S,1S:1S:1S:1S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
2323,4,0,2,2,2,::1O:1O,,1N4O2S:1O,1S:1S:1S:1S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
2324,4,0,2,2,2,::1O:1O,,1N2O2S:2O1S,1S:1S:1S:1S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
2325,4,0,2,2,2,:1O:1O:2O,,:1O,2S:3S:3S:3S:3S:3S:4S:4S,1L:1L,1,0.03000300030003
2326,4,0,2,2,2,:1O:1O:2O,,1O:3O1S,1S:1S:1S:1S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
2327,4,0,2,2,2,:1O:1O:2O,,1O:2O1S,1S:1S:2S:2S:3S:3S:3S:3S,1L:1L,1,0.03000300030003
2328,4,0,2,2,2,:1O:1O:2O,,1O:1O1S,2S:2S:2S:2S:3S:3S:3S:3S,1L:1L,1,0.03000300030003
2329,4,0,2,2,2,:1O:1O:2O,,1O:1O,:::1S:1S:2S:2S:2S,1L:1L,1,0.03000300030003
2330,4,0,2,2,2,:1O:1O:2O,,1O:1O,2S:3S:4S:4S:4S:4S:5S:5S,1L:1L,1,0.03000300030003
2331,4,0,2,2,2,:1O:1O:2O,,1O1S:2O,2S:2S:2S:2S:2S:2S:3S:3S,1L:1L,1,0.03000300030003
2332,4,0,2,2,2,:1O:1O:1O,,:2O,2S:2S:2S:3S:3S:3S:4S:4S,1L:1L,1,0.03000300030003
2333,4,0,2,2,2,:1O:1O:1O,,1O:1O1S,1S:1S:1S:1S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
2334,4,0,2,2,2,:1O:1O:1O,,:2O,2S:2S:2S:2S:2S:2S:3S:3S,1L:1L,1,0.03000300030003
2335,4,0,2,2,2,:1O:1O:1O,,:1O,2S:3S:4S:4S:4S:4S:4S:4S,1L:1L,1,0.03000300030003
2336,4,0,2,2,2,:1O:1O:1O,,:1N3O2S,2S:2S:2S:2S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
2337,4,0,2,2,2,:1O:1O:1O,,:1N3O2S,1S:2S:2S:2S:3S:3S:3S:4S,1L:1L,1,0.03000300030003
2338,4,0,2,2,2,:1O:1O:1O,,:1N2O2S,2S:2S:2S:2S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
2339,4,0,2,2,2,:1O:1O:1O,,2O:2O1S,::1S:1S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
2340,4,0,2,2,2,:1O:1O:1O,,2O:2O1S,1S:1S:1S:1S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
2341,4,0,2,2,2,:1O:1O:1O,,2O1S:2O1S,:::1S:1S:2S:2S:2S,1L:1L,1,0.03000300030003
2342,4,0,2,2,2,:1O:1O:1O,,2O1S:2O1S,1S:1S:1S:1S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
