,num_dol,num_hfme,num_tfsi,num_ps,num_li,atoms_dol,atoms_hfme,atoms_tfsi,atoms_ps,atoms_li,count,%
814,5,1,0,1,1,::1O:1O:2O,,,,1L,1,0.03000300030003
815,5,0,2,1,2,:1O:1O:1O:1O,,1N1O1S:2O,,1L:1L,1,0.03000300030003
816,5,2,1,1,1,::1O:1O:1O,:,,,1L,1,0.03000300030003
817,5,2,0,1,2,::1O:1O:2O,:,,,1L:1L,1,0.03000300030003
818,5,1,0,2,1,:1O:1O:1O:1O,,,1S:1S:1S:2S:3S:3S:3S:3S,1L,1,0.03000300030003
819,5,2,0,2,2,1O:1O:1O:1O:1O,:,,1S:1S:1S:1S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
820,5,2,0,2,2,1O:1O:1O:1O:1O,:,,2S:2S:2S:2S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
821,5,1,0,1,2,:1O:1O:1O:2O,,,,1L:1L,1,0.03000300030003
822,5,1,0,1,2,:1O:1O:1O:1O,,,,1L:1L,1,0.03000300030003
823,7,0,0,2,2,:::1O:1O:2O:2O,,,3S:3S:3S:3S:4S:4S:5S:5S,1L:1L,1,0.03000300030003
824,5,1,0,1,2,1O:1O:1O:1O:2O,,,,1L:1L,1,0.03000300030003
825,7,0,0,3,2,:1O:1O:1O:1O:1O:1O,,,1S:1S:1S:1S:1S:1S:1S:1S:1S:1S:1S:2S:3S:3S:3S:3S,1L:1L,1,0.03000300030003
826,7,0,0,3,2,::1O:1O:1O:1O:2O,,,1S:1S:1S:1S:1S:1S:1S:1S:1S:1S:1S:2S:3S:3S:3S:3S,1L:1L,1,0.03000300030003
827,7,0,1,1,1,:1O:1O:1O:1O:1O:1O,,,,1L,1,0.03000300030003
828,7,0,1,1,1,::1O:1O:1O:1O:1O,,,,1L,1,0.03000300030003
829,5,1,0,1,2,1O:1O:1O:1O:1O,,,,1L:1L,1,0.03000300030003
830,5,1,0,1,1,:::1O:1O,,,,1L,1,0.03000300030003
831,5,2,0,2,2,:1O:1O:1O:1O,:,,1S:1S:1S:2S:3S:3S:3S:3S,1L:1L,1,0.03000300030003
832,5,2,1,1,2,1O:1O:1O:1O:1O,:1O,1O,,1L:1L,1,0.03000300030003
833,5,2,1,1,2,1O:1O:1O:1O:2O,:,2O1S,,1L:1L,1,0.03000300030003
834,5,2,1,1,2,:1O:1O:1O:2O,:,1O1S,,1L:1L,1,0.03000300030003
835,5,0,3,1,2,::1O:1O:1O,,1O:2O1S:2O2S,,1L:1L,1,0.03000300030003
836,5,0,3,1,2,:1O:1O:1O:1O,,::2O1S,,1L:1L,1,0.03000300030003
837,5,0,3,1,2,:1O:1O:1O:1O,,:2O:2O,,1L:1L,1,0.03000300030003
838,5,0,3,1,2,:1O:1O:1O:1O,,:1O:3O1S,,1L:1L,1,0.03000300030003
839,5,0,3,1,2,:1O:1O:1O:1O,,:1O:1O1S,,1L:1L,1,0.03000300030003
840,6,0,0,1,2,::1O:1O:1O:2O,,,,1L:1L,1,0.03000300030003
841,5,0,3,1,2,:1O:1O:1O:1O,,:1O1S:2O1S,,1L:1L,1,0.03000300030003
842,5,0,3,1,2,:1O:1O:1O:1O,,:1O1S:2O,,1L:1L,1,0.03000300030003
843,5,0,3,1,2,:1O:1O:1O:1O,,1O:2O:2O1S,,1L:1L,1,0.03000300030003
844,6,0,0,2,2,1O:1O:1O:1O:1O:1O,,,1S:1S:2S:2S:3S:3S:3S:3S,1L:1L,1,0.03000300030003
845,5,0,3,1,2,:1O:1O:1O:1O,,1O:1O:1O1S,,1L:1L,1,0.03000300030003
846,7,0,1,1,1,::::1O:1O:1O,,1O,,1L,1,0.03000300030003
847,6,0,0,2,2,1O:1O:1O:1O:1O:1O,,,2S:2S:2S:3S:3S:4S:4S:4S,1L:1L,1,0.03000300030003
848,5,0,3,1,2,1O:1O:1O:1O:2O,,::1O,,1L:1L,1,0.03000300030003
849,5,0,3,1,2,1O:1O:1O:1O:2O,,::1N1O1S,,1L:1L,1,0.03000300030003
850,6,0,0,2,2,1O:1O:1O:1O:1O:1O,,,2S:3S:3S:3S:4S:4S:5S:5S,1L:1L,1,0.03000300030003
851,5,0,3,1,2,:1O:1O:1O:2O,,1N1O1S:1O:2O,,1L:1L,1,0.03000300030003
852,6,0,0,1,2,1O:1O:1O:1O:1O:2O,,,,1L:1L,1,0.03000300030003
853,5,0,3,1,2,:1O:1O:1O:2O,,1O:1O1S:1O1S,,1L:1L,1,0.03000300030003
854,5,3,0,1,1,::1O:1O:1O,::,,,1L,1,0.03000300030003
855,5,0,3,1,2,::1O:1O:1O,,1O:2O1S:2O1S,,1L:1L,1,0.03000300030003
856,5,0,3,1,2,::1O:1O:1O,,1O:1O:2O2S,,1L:1L,1,0.03000300030003
857,7,0,0,1,2,1O:1O:1O:1O:1O:2O:2O,,,,1L:1L,1,0.03000300030003
858,5,2,1,2,2,:1O:1O:1O:1O,:,3O2S,:::1S:1S:2S:2S:2S,1L:1L,1,0.03000300030003
