,num_dol,num_tfeibe,num_tfsi,num_ps,num_li,atoms_dol,atoms_tfeibe,atoms_tfsi,atoms_ps,atoms_li,count,%
2455,4,0,2,2,2,:1O:2O:2O,,1O1S:1O1S,1S:1S:1S:2S:3S:3S:3S:3S,1L:1L,1,0.03000300030003
2456,4,0,2,2,2,:1O:2O:2O,,1O1S:2O,2S:2S:3S:3S:3S:3S:3S:3S,1L:1L,1,0.03000300030003
2457,4,0,2,2,2,:1O:2O:2O,,1O:1O1S,1S:1S:2S:2S:2S:2S:3S:3S,1L:1L,1,0.03000300030003
2458,4,0,2,2,2,:1O:2O:2O,,1O:1O1S,::1S:1S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
2459,4,0,2,2,2,:1O:2O:2O,,1O:2O,1S:1S:1S:2S:3S:3S:3S:3S,1L:1L,1,0.03000300030003
2460,4,0,2,2,2,:1O:2O:2O,,2O:2O1S,2S:2S:3S:3S:3S:3S:3S:4S,1L:1L,1,0.03000300030003
2461,4,0,2,2,2,::1O:1O,,1N1O1S:2O,1S:1S:1S:1S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
2462,4,0,2,2,2,::1O:1O,,1N2O2S:1O1S,1S:1S:1S:1S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
2463,4,0,2,2,2,::1O:1O,,1N3O2S:1O,1S:1S:1S:1S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
2464,4,0,2,2,2,::1O:1O,,1O1S:2O1S,2S:2S:2S:3S:3S:3S:4S:5S,1L:1L,1,0.03000300030003
2465,4,0,2,2,2,::1O:1O,,1O1S:2O2S,1S:1S:1S:1S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
2466,4,0,2,2,2,::1O:1O,,1O:1O,1S:1S:2S:2S:2S:2S:3S:3S,1L:1L,1,0.03000300030003
2467,4,0,2,2,2,::1O:1O,,1O:1O,2S:3S:3S:3S:3S:3S:3S:3S,1L:1L,1,0.03000300030003
2468,4,0,2,2,2,:1O:1O:2O,,:1O1S,2S:2S:3S:3S:3S:3S:3S:3S,1L:1L,1,0.03000300030003
2469,4,0,2,2,2,:1O:1O:2O,,:1N3O2S,1S:1S:1S:2S:3S:3S:3S:3S,1L:1L,1,0.03000300030003
2470,4,0,2,2,2,:1O:1O:2O,,1O:2O1S,1S:1S:1S:2S:3S:3S:3S:3S,1L:1L,1,0.03000300030003
2471,4,0,2,2,2,:1O:1O:2O,,:1N2O2S,1S:1S:1S:2S:3S:3S:3S:3S,1L:1L,1,0.03000300030003
2472,4,0,2,2,2,:1O:1O:2O,,1O:2O1S,2S:2S:2S:2S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
2473,4,0,2,2,2,:1O:1O:2O,,1O:2O1S,::1S:1S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
2474,4,0,2,2,2,:1O:1O:2O,,1O:2O2S,1S:1S:1S:2S:3S:3S:3S:3S,1L:1L,1,0.03000300030003
2475,4,0,2,2,2,:1O:1O:2O,,2O1S:2O2S,1S:1S:1S:1S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
2476,4,0,2,2,2,:1O:1O:2O,,2O1S:2O2S,2S:2S:2S:2S:3S:3S:3S:4S,1L:1L,1,0.03000300030003
2477,4,0,2,2,2,:1O:1O:2O,,2O1S:2O2S,2S:2S:2S:3S:3S:3S:4S:4S,1L:1L,1,0.03000300030003
2478,4,0,2,2,2,:1O:1O:2O,,2O:2O,1S:1S:2S:2S:2S:2S:3S:3S,1L:1L,1,0.03000300030003
2479,4,0,2,2,2,:1O:1O:2O,,2O:2O,3S:3S:3S:3S:3S:4S:4S:4S,1L:1L,1,0.03000300030003
