,num_dol,num_tte,num_tfsi,num_ps,num_li,atoms_dol,atoms_tte,atoms_tfsi,atoms_ps,atoms_li,count,%
1118,5,1,2,1,2,1O:1O:1O:1O:1O,,1N3O2S:1O1S,,1L:1L,1,0.03000300030003
1119,5,1,2,1,1,::::1O,,1N1O1S:1O,,1L,1,0.03000300030003
1120,5,1,2,1,1,:::1O:1O,1O,:1O,,1L,1,0.03000300030003
1121,5,1,2,1,1,:::1O:1O,,:1O,,1L,1,0.03000300030003
1122,5,1,2,1,1,::1O:1O:1O,,:,,1L,1,0.03000300030003
1123,5,1,1,3,2,:1O:1O:1O:1O,,1O,1S:1S:1S:1S:1S:1S:1S:2S:2S:2S:2S:3S:3S:3S:3S:3S,1L:1L,1,0.03000300030003
1124,5,1,1,2,2,:::1O:1O,,1N4O2S,1S:2S:2S:3S:3S:3S:3S:3S,1L:1L,1,0.03000300030003
1125,5,1,1,2,2,:::1O:1O,,,1S:1S:2S:2S:2S:3S:3S:3S,1L:1L,1,0.03000300030003
1126,5,1,1,1,1,::1O:1O:2O,,,,1L,1,0.03000300030003
1127,5,1,1,1,1,::1O:1O:1O,,1O1S,,1L,1,0.03000300030003
1128,5,1,1,1,1,:1O:1O:1O:2O,,1O,,1L,1,0.03000300030003
1129,5,0,3,1,2,:1O:1O:1O:1O,,:1O:2O2S,,1L:1L,1,0.03000300030003
1130,5,0,3,1,2,::1O:1O:1O,,1N3O2S:1O:1O,,1L:1L,1,0.03000300030003
1131,5,0,3,1,2,:1O:1O:2O:2O,,:1O:1O,,1L:1L,1,0.03000300030003
1132,5,0,3,1,2,:1O:1O:2O:2O,,1O:2O:2O1S,,1L:1L,1,0.03000300030003
1133,5,0,3,1,2,:1O:1O:2O:2O,,1O:1O:2O1S,,1L:1L,1,0.03000300030003
1134,5,0,3,1,2,:1O:1O:2O:2O,,1O:1O:1O,,1L:1L,1,0.03000300030003
1135,5,0,3,1,2,:1O:1O:1O:2O,,:1O:3O2S,,1L:1L,1,0.03000300030003
1136,5,0,3,1,2,:1O:1O:1O:2O,,:1O:2O1S,,1L:1L,1,0.03000300030003
1137,5,0,3,1,2,:1O:1O:1O:2O,,:1O:1O,,1L:1L,1,0.03000300030003
