,num_dol,num_etfe,num_tfsi,num_ps,num_li,atoms_dol,atoms_etfe,atoms_tfsi,atoms_ps,atoms_li,count,%
136,4,1,2,1,2,1O:1O:1O:2O,,1N3O2S:1O,,1L:1L,3,0.09000900090009
137,6,0,1,1,2,:1O:1O:1O:1O:1O,,1O,,1L:1L,3,0.09000900090009
138,4,1,2,1,2,1O:1O:1O:1O,,2O1S:2O1S,,1L:1L,3,0.09000900090009
139,4,0,2,1,2,1O:1O:1O:2O,,1N1O1S:1O1S,,1L:1L,3,0.09000900090009
140,4,1,2,1,2,1O:1O:1O:1O,,1O1S:2O1S,,1L:1L,3,0.09000900090009
141,6,0,1,2,2,:1O:1O:1O:1O:1O,,1O,1S:1S:1S:2S:3S:3S:3S:3S,1L:1L,3,0.09000900090009
142,6,0,1,1,2,:1O:1O:1O:2O:2O,,2O1S,,1L:1L,3,0.09000900090009
143,4,0,1,2,2,1O:1O:1O:1O,,1O1S,2S:2S:2S:2S:2S:2S:3S:3S,1L:1L,3,0.09000900090009
144,6,0,2,1,2,:1O:1O:1O:1O:1O,,1O1S:1O1S,,1L:1L,3,0.09000900090009
145,4,0,1,2,2,1O:1O:1O:1O,,1N3O2S,:1S:1S:1S:1S:2S:2S:2S,1L:1L,3,0.09000900090009
146,6,0,2,1,2,:1O:1O:1O:1O:1O,,1O1S:2O1S,,1L:1L,3,0.09000900090009
147,5,0,1,1,2,1O:1O:1O:1O:1O,,1N3O2S,,1L:1L,3,0.09000900090009
148,5,0,1,1,2,1O:1O:1O:1O:1O,,,,1L:1L,3,0.09000900090009
149,6,1,0,1,1,:::1O:1O:1O,,,,1L,3,0.09000900090009
150,5,0,3,1,2,::1O:1O:1O,,2O:2O1S:2O1S,,1L:1L,3,0.09000900090009
151,5,1,1,1,2,1O:1O:1O:1O:1O,,2O1S,,1L:1L,3,0.09000900090009
152,4,0,4,1,2,1O:1O:1O:1O,,:1O:1O:1O1S,,1L:1L,3,0.09000900090009
153,5,1,1,1,1,:::1O:1O,,1O1S,,1L,3,0.09000900090009
154,5,1,1,1,1,::1O:1O:1O,,,,1L,3,0.09000900090009
155,5,3,0,1,1,:1O:1O:1O:1O,::,,,1L,3,0.09000900090009
156,6,0,2,1,2,::1O:1O:1O:2O,,1O:1O1S,,1L:1L,3,0.09000900090009
157,6,0,1,1,1,::1O:1O:1O:2O,,2O1S,,1L,3,0.09000900090009
158,6,0,2,1,2,:1O:1O:1O:1O:2O,,:1O,,1L:1L,3,0.09000900090009
159,5,0,3,1,2,1O:1O:1O:1O:1O,,::1O,,1L:1L,3,0.09000900090009
160,5,0,3,1,2,1O:1O:1O:1O:1O,,::1O1S,,1L:1L,3,0.09000900090009
161,4,1,1,2,2,1O:1O:1O:1O,,1N2O2S,:1S:1S:1S:1S:2S:2S:2S,1L:1L,3,0.09000900090009
162,6,0,2,1,2,:1O:1O:1O:1O:1O,,:1O,,1L:1L,3,0.09000900090009
163,6,0,2,1,2,:1O:1O:1O:1O:1O,,1O:1O,,1L:1L,3,0.09000900090009
164,4,0,1,2,2,1O:1O:1O:1O,,1N2O2S,1S:2S:2S:2S:2S:3S:3S:3S,1L:1L,3,0.09000900090009
165,6,0,1,1,2,::1O:1O:1O:2O,,1N3O2S,,1L:1L,3,0.09000900090009
166,3,0,3,1,2,1O:1O:1O,,1O:1O:2O1S,,1L:1L,3,0.09000900090009
167,5,0,1,2,2,:1O:1O:1O:2O,,2O1S,2S:2S:2S:3S:3S:3S:3S:3S,1L:1L,3,0.09000900090009
168,5,1,2,1,2,1O:1O:1O:1O:1O,,1O:1O,,1L:1L,3,0.09000900090009
169,5,0,2,1,2,:1O:1O:1O:2O,,2O1S:2O1S,,1L:1L,3,0.09000900090009
170,5,0,2,1,2,1O:1O:1O:1O:2O,,1O1S:1O1S,,1L:1L,3,0.09000900090009
171,5,0,2,1,2,:1O:1O:1O:2O,,1O:3O1S,,1L:1L,3,0.09000900090009
172,3,0,3,1,2,1O:1O:1O,,1O:2O1S:2O1S,,1L:1L,3,0.09000900090009
173,5,0,2,1,2,:1O:1O:1O:1O,,1N4O2S:2O1S,,1L:1L,3,0.09000900090009
174,5,0,1,2,2,:1O:1O:1O:2O,,1O,2S:2S:3S:3S:3S:3S:3S:3S,1L:1L,3,0.09000900090009
