,num_dol,num_ma,num_tfsi,num_ps,num_li,atoms_dol,atoms_ma,atoms_tfsi,atoms_ps,atoms_li,count,%
699,4,4,0,3,2,1O:1O:1O:1O,1O:1O:1O:1O,,::1S:1S:1S:1S:1S:1S:2S:2S:2S:2S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
700,4,4,0,3,2,:1O:1O:1O,:1O:1O:1O,,1S:1S:1S:1S:1S:1S:1S:2S:2S:2S:2S:2S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
701,4,4,1,2,2,1O:1O:1O:1O,1O:1O:1O:1O,2O,:1S:1S:2S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
702,4,4,1,1,2,1O:1O:1O:2O,1O:1O:1O:2O,2O1S,,1L:1L,1,0.03000300030003
703,4,4,1,1,2,:1O:1O:1O,:1O:1O:1O,3O,,1L:1L,1,0.03000300030003
704,4,4,1,1,2,:1O:1O:1O,:1O:1O:1O,3O1S,,1L:1L,1,0.03000300030003
705,4,4,1,1,2,:1O:1O:2O,:1O:1O:2O,1N3O1S,,1L:1L,1,0.03000300030003
706,4,4,1,1,2,:1O:1O:2O,:1O:1O:2O,1O1S,,1L:1L,1,0.03000300030003
707,4,4,1,1,2,:1O:1O:2O,:1O:1O:2O,2O,,1L:1L,1,0.03000300030003
708,4,4,1,1,2,:1O:1O:2O,:1O:1O:2O,2O1S,,1L:1L,1,0.03000300030003
709,4,4,1,1,2,::1O:1O,::1O:1O,2O,,1L:1L,1,0.03000300030003
710,4,4,1,1,2,::1O:1O,::1O:1O,2O1S,,1L:1L,1,0.03000300030003
711,4,4,1,2,1,::1O:1O,::1O:1O,,1S:1S:1S:1S:2S:2S:2S:2S,1L,1,0.03000300030003
712,4,4,1,2,1,:::1O,:::1O,,2S:2S:2S:2S:2S:2S:2S:2S,1L,1,0.03000300030003
713,4,4,1,2,2,1O:1O:1O:1O,1O:1O:1O:1O,,1S:1S:1S:1S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
714,4,4,1,2,2,1O:1O:1O:1O,1O:1O:1O:1O,1N1O,1S:1S:1S:1S:2S:2S:2S:3S,1L:1L,1,0.03000300030003
715,4,4,1,2,2,1O:1O:1O:1O,1O:1O:1O:1O,1N1O1S,1S:1S:1S:1S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
716,4,4,1,2,2,1O:1O:1O:1O,1O:1O:1O:1O,1N2O1S,1S:1S:1S:1S:2S:2S:2S:3S,1L:1L,1,0.03000300030003
717,4,4,1,2,2,1O:1O:1O:1O,1O:1O:1O:1O,1N3O1S,1S:1S:1S:1S:2S:2S:2S:3S,1L:1L,1,0.03000300030003
718,4,4,1,2,2,1O:1O:1O:1O,1O:1O:1O:1O,1O,1S:1S:1S:2S:3S:3S:3S:3S,1L:1L,1,0.03000300030003
719,4,4,1,2,2,1O:1O:1O:1O,1O:1O:1O:1O,1O,2S:2S:2S:2S:2S:2S:2S:3S,1L:1L,1,0.03000300030003
720,4,4,1,2,2,1O:1O:1O:1O,1O:1O:1O:1O,1O,::1S:1S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
721,4,4,1,2,2,1O:1O:1O:1O,1O:1O:1O:1O,2O,2S:2S:2S:2S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
722,4,4,1,1,2,:1O:1O:1O,:1O:1O:1O,1O1S,,1L:1L,1,0.03000300030003
723,4,4,1,1,2,1O:1O:1O:2O,1O:1O:1O:2O,1N4O2S,,1L:1L,1,0.03000300030003
724,4,4,0,3,2,:1O:1O:1O,:1O:1O:1O,,1S:1S:1S:1S:1S:2S:2S:2S:2S:2S:2S:2S:2S:2S:2S:3S,1L:1L,1,0.03000300030003
725,4,4,1,1,2,1O:1O:1O:2O,1O:1O:1O:2O,1N3O2S,,1L:1L,1,0.03000300030003
726,4,4,0,3,2,:1O:1O:1O,:1O:1O:1O,,1S:1S:1S:1S:2S:2S:2S:2S:2S:2S:3S:3S:3S:3S:3S:4S,1L:1L,1,0.03000300030003
727,4,4,0,3,2,:1O:1O:1O,:1O:1O:1O,,:1S:1S:1S:1S:1S:1S:1S:2S:2S:2S:2S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
728,4,4,1,1,1,1O:1O:1O:1O,1O:1O:1O:1O,1O,,1L,1,0.03000300030003
729,4,4,1,1,1,1O:1O:1O:1O,1O:1O:1O:1O,1O1S,,1L,1,0.03000300030003
730,4,4,1,1,1,1O:1O:1O:2O,1O:1O:1O:2O,1O,,1L,1,0.03000300030003
731,4,4,1,1,1,:1O:1O:1O,:1O:1O:1O,,,1L,1,0.03000300030003
732,4,4,1,1,1,:1O:1O:1O,:1O:1O:1O,1O1S,,1L,1,0.03000300030003
733,4,4,1,1,1,::1O:1O,::1O:1O,1O,,1L,1,0.03000300030003
734,4,4,1,1,1,::1O:1O,::1O:1O,1O1S,,1L,1,0.03000300030003
735,4,4,1,1,1,::1O:1O,::1O:1O,3O1S,,1L,1,0.03000300030003
736,4,4,1,1,1,::1O:2O,::1O:2O,1N1O1S,,1L,1,0.03000300030003
737,4,4,1,1,1,:::2O,:::2O,2O,,1L,1,0.03000300030003
738,4,4,1,1,2,1O:1O:1O:1O,1O:1O:1O:1O,1N3O1S,,1L:1L,1,0.03000300030003
739,4,4,1,1,2,1O:1O:1O:1O,1O:1O:1O:1O,1N3O2S,,1L:1L,1,0.03000300030003
740,4,4,1,1,2,1O:1O:1O:1O,1O:1O:1O:1O,1O1S,,1L:1L,1,0.03000300030003
741,4,4,1,1,2,1O:1O:1O:1O,1O:1O:1O:1O,2O2S,,1L:1L,1,0.03000300030003
742,4,4,1,1,2,1O:1O:1O:1O,1O:1O:1O:1O,3O1S,,1L:1L,1,0.03000300030003
743,4,4,1,1,2,1O:1O:1O:1O,1O:1O:1O:1O,3O2S,,1L:1L,1,0.03000300030003
744,4,4,1,1,2,1O:1O:1O:2O,1O:1O:1O:2O,1N2O2S,,1L:1L,1,0.03000300030003
745,4,4,3,1,2,::1O:1O,::1O:1O,1O:1O:2O,,1L:1L,1,0.03000300030003
746,4,4,3,1,2,::1O:1O,::1O:1O,1O:2O1S:2O1S,,1L:1L,1,0.03000300030003
747,6,6,0,2,1,:::1O:2O:2O,:::1O:2O:2O,,1S:1S:1S:2S:2S:2S:2S:3S,1L,1,0.03000300030003
748,5,5,1,2,2,:1O:1O:1O:1O,:1O:1O:1O:1O,3O,1S:1S:1S:1S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
749,5,5,1,2,2,:1O:1O:1O:1O,:1O:1O:1O:1O,3O1S,1S:1S:1S:1S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
750,5,5,1,2,2,:1O:1O:1O:1O,:1O:1O:1O:1O,3O2S,1S:1S:1S:1S:2S:2S:2S:3S,1L:1L,1,0.03000300030003
751,5,5,1,2,2,:1O:1O:1O:2O,:1O:1O:1O:2O,,1S:1S:1S:1S:2S:2S:2S:3S,1L:1L,1,0.03000300030003
752,5,5,1,2,2,:1O:1O:1O:2O,:1O:1O:1O:2O,1N1O1S,1S:1S:1S:1S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
753,5,5,1,2,2,:1O:1O:1O:2O,:1O:1O:1O:2O,1O,2S:2S:2S:2S:2S:2S:3S:3S,1L:1L,1,0.03000300030003
754,5,5,1,2,2,:1O:1O:1O:2O,:1O:1O:1O:2O,3O1S,1S:1S:1S:1S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
755,5,5,1,2,2,:1O:1O:2O:2O,:1O:1O:2O:2O,1O,1S:1S:1S:2S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
756,5,5,1,2,2,::1O:1O:1O,::1O:1O:1O,1N1O,1S:1S:1S:1S:2S:2S:2S:3S,1L:1L,1,0.03000300030003
757,5,5,1,2,2,::1O:1O:1O,::1O:1O:1O,1N1O1S,1S:1S:1S:1S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
758,5,5,1,2,2,::1O:1O:1O,::1O:1O:1O,1N2O1S,1S:1S:1S:1S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
759,5,5,1,2,2,::1O:1O:1O,::1O:1O:1O,1O,1S:1S:1S:1S:2S:2S:2S:3S,1L:1L,1,0.03000300030003
760,5,5,1,2,2,::1O:1O:1O,::1O:1O:1O,1O,1S:2S:2S:3S:3S:3S:3S:4S,1L:1L,1,0.03000300030003
761,5,5,1,2,2,::1O:1O:1O,::1O:1O:1O,1O,2S:2S:2S:2S:2S:2S:2S:3S,1L:1L,1,0.03000300030003
762,5,5,1,2,2,::1O:1O:1O,::1O:1O:1O,1O,2S:2S:3S:3S:3S:3S:3S:3S,1L:1L,1,0.03000300030003
763,5,5,1,2,2,::1O:1O:1O,::1O:1O:1O,1O,::1S:1S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
764,5,5,1,2,2,::1O:1O:1O,::1O:1O:1O,2O,1S:1S:1S:1S:2S:2S:2S:3S,1L:1L,1,0.03000300030003
765,5,5,1,2,2,::1O:1O:1O,::1O:1O:1O,2O,2S:3S:3S:3S:3S:4S:4S:4S,1L:1L,1,0.03000300030003
766,5,5,1,2,2,::1O:1O:1O,::1O:1O:1O,2O1S,1S:1S:1S:1S:2S:2S:2S:3S,1L:1L,1,0.03000300030003
767,5,5,1,2,2,::1O:1O:1O,::1O:1O:1O,2O1S,1S:1S:1S:2S:3S:3S:3S:3S,1L:1L,1,0.03000300030003
768,5,5,1,2,2,:1O:1O:1O:1O,:1O:1O:1O:1O,3O,1S:1S:1S:1S:2S:2S:2S:3S,1L:1L,1,0.03000300030003
769,5,5,1,2,2,:1O:1O:1O:1O,:1O:1O:1O:1O,2O1S,2S:2S:2S:2S:2S:2S:2S:3S,1L:1L,1,0.03000300030003
770,5,5,1,2,3,1O:1O:1O:1O:1O,1O:1O:1O:1O:1O,,1S:1S:1S:2S:3S:3S:3S:3S,1L:1L:1L,1,0.03000300030003
771,5,5,1,2,2,:1O:1O:1O:1O,:1O:1O:1O:1O,2O1S,1S:1S:1S:2S:3S:3S:3S:3S,1L:1L,1,0.03000300030003
772,5,5,1,2,2,1O:1O:1O:1O:1O,1O:1O:1O:1O:1O,1O,1S:1S:1S:2S:3S:3S:3S:3S,1L:1L,1,0.03000300030003
773,5,5,1,2,2,1O:1O:1O:1O:1O,1O:1O:1O:1O:1O,1O,2S:2S:2S:3S:3S:4S:4S:4S,1L:1L,1,0.03000300030003
774,5,5,1,2,2,1O:1O:1O:1O:1O,1O:1O:1O:1O:1O,1O,:::1S:1S:2S:2S:2S,1L:1L,1,0.03000300030003
775,5,5,1,2,2,1O:1O:1O:1O:1O,1O:1O:1O:1O:1O,2O,1S:1S:1S:1S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
776,5,5,1,2,2,1O:1O:1O:1O:1O,1O:1O:1O:1O:1O,2O,:1S:1S:1S:1S:2S:2S:2S,1L:1L,1,0.03000300030003
777,5,5,1,2,2,1O:1O:1O:1O:1O,1O:1O:1O:1O:1O,2O1S,1S:1S:1S:1S:2S:2S:2S:3S,1L:1L,1,0.03000300030003
778,5,5,1,2,2,1O:1O:1O:1O:1O,1O:1O:1O:1O:1O,2O1S,:1S:1S:1S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
