,num_dol,num_ettfpe,num_tfsi,num_ps,num_li,atoms_dol,atoms_ettfpe,atoms_tfsi,atoms_ps,atoms_li,count,%
965,3,1,1,2,2,1O:1O:1O,1O,1N1O1S,:::1S:1S:2S:2S:2S,1L:1L,1,0.03000300030003
966,3,1,1,2,2,1O:1O:1O,,3O,1S:1S:1S:1S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
967,3,1,1,2,2,1O:1O:1O,,2O1S,:::1S:1S:2S:2S:2S,1L:1L,1,0.03000300030003
968,3,1,1,2,2,1O:1O:1O,,2O1S,1S:1S:1S:2S:3S:3S:3S:3S,1L:1L,1,0.03000300030003
969,3,1,2,1,2,1O:1O:1O,,1N1O1S:1O,,1L:1L,1,0.03000300030003
970,3,1,2,1,2,1O:1O:1O,,1N1O:2O,,1L:1L,1,0.03000300030003
971,3,1,2,1,2,1O:1O:1O,,1N2O1S:2O,,1L:1L,1,0.03000300030003
972,3,1,2,1,2,1O:1O:1O,,1N2O2S:2O,,1L:1L,1,0.03000300030003
973,3,1,2,2,2,1O:1O:2O,,1O:1O,:1S:1S:2S:2S:2S:2S:3S,1L:1L,1,0.03000300030003
974,3,1,2,2,2,1O:1O:1O,,1O:2O,1S:1S:1S:1S:2S:2S:2S:3S,1L:1L,1,0.03000300030003
975,3,1,2,2,1,:1O:1O,,:1O,2S:2S:2S:2S:2S:2S:2S:2S,1L,1,0.03000300030003
976,3,1,2,1,2,:1O:1O,1O,:2O,,1L:1L,1,0.03000300030003
