,num_dol,num_acn,num_tfsi,num_ps,num_li,atoms_dol,atoms_acn,atoms_tfsi,atoms_ps,atoms_li,count,%
860,2,2,0,3,2,1O:1O,1N:1N,,:::1S:1S:1S:1S:1S:1S:1S:1S:1S:1S:2S:2S:2S,1L:1L,1,0.03000300030003
861,2,2,0,3,2,1O:1O,:1N,,:::1S:1S:1S:1S:1S:1S:1S:1S:1S:1S:2S:2S:2S,1L:1L,1,0.03000300030003
862,2,2,1,1,1,1O:1O,:1N,,,1L,1,0.03000300030003
863,2,2,1,1,1,:,:1N,1N1O1S,,1L,1,0.03000300030003
864,2,2,1,1,1,:1O,1N:1N,1O,,1L,1,0.03000300030003
865,2,2,1,2,1,:,1N:1N,,1S:1S:1S:1S:2S:2S:2S:3S,1L,1,0.03000300030003
866,2,2,1,2,2,1O:1O,:1N,1O,1S:1S:1S:1S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
867,2,3,0,2,2,:1O,1N:1N:1N,,:::1S:1S:2S:2S:2S,1L:1L,1,0.03000300030003
868,2,3,0,2,2,:2O,1N:1N:1N,,2S:2S:2S:2S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
869,2,4,0,2,2,1O:1O,:1N:1N:1N,,1S:1S:1S:2S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
870,2,4,0,2,1,:,:::1N,,:::1S:1S:2S:2S:2S,1L,1,0.03000300030003
871,2,4,0,1,2,:2O,:1N:1N:1N,,,1L:1L,1,0.03000300030003
872,2,4,0,2,1,1O:1O,::1N:1N,,:::1S:1S:2S:2S:2S,1L,1,0.03000300030003
873,2,4,0,2,1,1O:1O,:::1N,,1S:1S:1S:2S:3S:3S:3S:3S,1L,1,0.03000300030003
874,2,4,0,2,1,1O:1O,:::1N,,:::1S:1S:2S:2S:2S,1L,1,0.03000300030003
875,2,4,0,2,1,:,:1N:1N:1N,,1S:1S:1S:1S:2S:2S:2S:3S,1L,1,0.03000300030003
876,2,4,0,2,1,:,::1N:1N,,1S:1S:1S:1S:2S:2S:2S:2S,1L,1,0.03000300030003
877,2,4,0,2,1,:,::1N:1N,,1S:1S:1S:2S:3S:3S:3S:3S,1L,1,0.03000300030003
878,2,4,0,2,1,:,:::1N,,::1S:1S:1S:2S:2S:2S,1L,1,0.03000300030003
879,2,4,0,2,1,:1O,:1N:1N:1N,,1S:1S:1S:2S:2S:2S:2S:3S,1L,1,0.03000300030003
880,2,4,0,1,2,:,1N:1N:1N:1N,,,1L:1L,1,0.03000300030003
881,2,4,0,2,1,:1O,::1N:1N,,1S:1S:1S:1S:2S:2S:2S:2S,1L,1,0.03000300030003
882,2,4,0,2,1,:1O,::1N:1N,,1S:1S:1S:2S:3S:3S:3S:3S,1L,1,0.03000300030003
883,2,4,0,2,1,:1O,::1N:1N,,2S:2S:2S:2S:3S:3S:4S:4S,1L,1,0.03000300030003
884,2,4,0,2,1,:1O,:::1N,,1S:1S:1S:1S:2S:2S:2S:3S,1L,1,0.03000300030003
885,2,4,0,2,1,:1O,:::1N,,1S:1S:1S:2S:3S:3S:3S:3S,1L,1,0.03000300030003
