,num_dol,num_thf,num_tfsi,num_ps,num_li,atoms_dol,atoms_thf,atoms_tfsi,atoms_ps,atoms_li,count,%
751,5,2,1,1,2,:1O:1O:1O:1O,:1O,3O1S,,1L:1L,1,0.03000300030003
752,5,2,1,1,2,:1O:1O:1O:1O,:1O,3O,,1L:1L,1,0.03000300030003
753,5,2,1,1,2,:1O:1O:1O:1O,:1O,2O1S,,1L:1L,1,0.03000300030003
754,5,2,1,1,2,:1O:1O:1O:1O,:1O,2O,,1L:1L,1,0.03000300030003
755,5,2,1,1,2,:1O:1O:1O:1O,:1O,1O1S,,1L:1L,1,0.03000300030003
756,5,2,2,1,2,::1O:1O:2O,:1O,1O:1O1S,,1L:1L,1,0.03000300030003
757,5,3,0,1,1,::1O:1O:2O,::,,,1L,1,0.03000300030003
758,5,3,0,1,1,:::1O:1O,1O:1O:1O,,,1L,1,0.03000300030003
759,5,3,0,1,1,::::,:1O:1O,,,1L,1,0.03000300030003
760,5,3,1,2,1,::::1O,::1O,,1S:1S:1S:1S:2S:2S:2S:2S,1L,1,0.03000300030003
761,5,3,1,1,2,:1O:1O:1O:1O,:1O:1O,1O,,1L:1L,1,0.03000300030003
762,5,3,1,1,1,::::1O,::1O,1O1S,,1L,1,0.03000300030003
763,5,3,1,1,1,:::1O:2O,::1O,1O,,1L,1,0.03000300030003
764,5,3,1,1,1,:::1O:1O,::,2O2S,,1L,1,0.03000300030003
765,5,3,1,1,1,:::1O:1O,:1O:1O,1O,,1L,1,0.03000300030003
766,5,3,1,1,1,::1O:1O:2O,::,1O1S,,1L,1,0.03000300030003
767,5,3,1,1,1,::1O:1O:2O,::,1O,,1L,1,0.03000300030003
768,5,3,1,1,1,::1O:1O:1O,::,2O1S,,1L,1,0.03000300030003
769,5,3,0,2,2,:1O:1O:1O:1O,::1O,,1S:1S:1S:1S:2S:2S:2S:3S,1L:1L,1,0.03000300030003
770,5,3,0,2,2,:1O:1O:1O:1O,:1O:1O,,1S:1S:1S:1S:2S:2S:2S:3S,1L:1L,1,0.03000300030003
771,5,3,0,2,1,::::1O,::1O,,1S:1S:2S:3S:4S:4S:4S:4S,1L,1,0.03000300030003
772,5,3,0,2,1,:::1O:1O,::1O,,1S:1S:1S:2S:2S:2S:2S:2S,1L,1,0.03000300030003
773,5,3,0,2,1,::1O:1O:2O,::1O,,1S:1S:1S:1S:2S:2S:2S:2S,1L,1,0.03000300030003
774,5,3,0,2,1,::1O:1O:1O,::1O,,2S:2S:2S:2S:3S:3S:3S:3S,1L,1,0.03000300030003
775,5,3,0,2,1,::1O:1O:1O,::,,1S:1S:1S:2S:3S:3S:3S:3S,1L,1,0.03000300030003
776,5,3,0,1,2,:::1O:1O,1O:1O:1O,,,1L:1L,1,0.03000300030003
777,5,3,0,1,2,:1O:1O:1O:2O,:1O:1O,,,1L:1L,1,0.03000300030003
778,5,3,0,1,1,::::1O,::1O,,,1L,1,0.03000300030003
779,5,3,0,1,1,::::1O,1O:1O:1O,,,1L,1,0.03000300030003
780,5,3,0,1,1,::::,::1O,,,1L,1,0.03000300030003
781,5,2,1,1,2,:1O:1O:1O:1O,1O:1O,1O1S,,1L:1L,1,0.03000300030003
782,5,2,1,1,2,1O:1O:1O:1O:1O,:1O,2O,,1L:1L,1,0.03000300030003
783,5,2,1,1,1,::::2O,1O:1O,1O1S,,1L,1,0.03000300030003
784,5,2,0,2,1,::::1O,:,,:1S:1S:1S:2S:2S:2S:2S,1L,1,0.03000300030003
785,5,2,0,2,1,:::1O:1O,:,,1S:1S:1S:2S:3S:3S:3S:3S,1L,1,0.03000300030003
786,5,2,0,2,1,:::1O:1O,1O:1O,,1S:1S:1S:1S:2S:2S:2S:2S,1L,1,0.03000300030003
787,5,2,0,2,1,::1O:1O:1O,:1O,,::1S:1S:2S:2S:2S:2S,1L,1,0.03000300030003
788,5,2,0,2,1,::1O:1O:1O,:,,:::1S:1S:2S:2S:2S,1L,1,0.03000300030003
789,5,2,0,2,1,:1O:1O:1O:2O,:,,:::1S:1S:2S:2S:2S,1L,1,0.03000300030003
790,5,2,0,2,1,:1O:1O:1O:1O,:1O,,1S:1S:1S:1S:2S:2S:3S:3S,1L,1,0.03000300030003
791,5,2,0,2,1,:1O:1O:1O:1O,:1O,,1S:1S:1S:1S:2S:2S:2S:3S,1L,1,0.03000300030003
792,5,2,0,1,2,:::1O:1O,:1O,,,1L:1L,1,0.03000300030003
793,5,2,0,1,2,:::1O:1O,1O:1O,,,1L:1L,1,0.03000300030003
794,5,2,0,1,2,1O:1O:1O:1O:2O,1O:1O,,,1L:1L,1,0.03000300030003
795,5,2,0,1,2,1O:1O:1O:1O:1O,:1O,,,1L:1L,1,0.03000300030003
796,5,2,0,1,1,::::1O,:1O,,,1L,1,0.03000300030003
797,5,2,0,1,1,::1O:2O:2O,1O:1O,,,1L,1,0.03000300030003
