,num_dol,num_hme,num_tfsi,num_ps,num_li,atoms_dol,atoms_hme,atoms_tfsi,atoms_ps,atoms_li,count,%
1151,7,0,2,1,2,::1O:1O:1O:1O:1O,,1O:3O1S,,1L:1L,1,0.03000300030003
1152,7,0,2,1,2,::1O:1O:1O:1O:1O,,:1O,,1L:1L,1,0.03000300030003
1153,7,0,2,1,2,::1O:1O:1O:1O:2O,,1O:3O1S,,1L:1L,1,0.03000300030003
1154,6,1,0,2,2,:1O:1O:1O:1O:1O,,,::1S:1S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
1155,6,1,0,2,2,1O:1O:1O:1O:1O:2O,,,1S:1S:1S:1S:2S:3S:3S:3S,1L:1L,1,0.03000300030003
1156,5,1,2,2,2,:1O:1O:1O:2O,,1O:1O1S,::1S:1S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
1157,5,3,1,1,2,:1O:1O:1O:2O,::,2O2S,,1L:1L,1,0.03000300030003
1158,5,3,0,1,1,::1O:1O:2O,::,,,1L,1,0.03000300030003
1159,5,3,0,1,1,:::1O:1O,:1O:1O,,,1L,1,0.03000300030003
1160,5,3,0,1,1,:::1O:1O,::1O,,,1L,1,0.03000300030003
1161,5,3,0,1,2,::1O:2O:2O,:1O:1O,,,1L:1L,1,0.03000300030003
1162,5,3,0,2,1,::::1O,::1O,,1S:1S:1S:2S:3S:3S:3S:3S,1L,1,0.03000300030003
1163,5,3,1,1,1,:::1O:1O,::1O,,,1L,1,0.03000300030003
1164,5,3,1,1,2,:1O:1O:1O:1O,::1O,1O1S,,1L:1L,1,0.03000300030003
1165,5,3,1,1,2,:1O:1O:1O:2O,::1O,1O,,1L:1L,1,0.03000300030003
1166,5,3,0,1,1,:1O:1O:1O:2O,::,,,1L,1,0.03000300030003
1167,5,3,1,2,2,:1O:1O:1O:2O,::1O,2O,1S:1S:1S:1S:2S:2S:3S:3S,1L:1L,1,0.03000300030003
