,num_dol,num_dms,num_tfsi,num_ps,num_li,atoms_dol,atoms_dms,atoms_tfsi,atoms_ps,atoms_li,count,%
2016,1,6,0,1,1,,:1O:1O:1O1S:2O1S:3O1S,,,1L,1,0.03000300030003
2017,1,6,0,1,1,,:1O:1O:1O:1O1S:1O1S,,,1L,1,0.03000300030003
2018,1,6,0,1,1,,:1O:1O:1O:1O1S:1S,,,1L,1,0.03000300030003
2019,1,6,0,1,1,,:1O:1O:1O:1O1S:2O1S,,,1L,1,0.03000300030003
2020,1,6,0,1,1,,:1O:1O:1O:2O1S:2O1S,,,1L,1,0.03000300030003
2021,1,6,0,1,1,,:1O:2O1S:2O1S:2O1S:2O1S,,,1L,1,0.03000300030003
2022,1,6,0,1,1,,::1O:1O1S:1O1S:2O1S,,,1L,1,0.03000300030003
2023,1,5,1,1,1,1O,::1O:2O1S:2O1S,1N3O1S,,1L,1,0.03000300030003
2024,1,6,0,1,1,,::1O:1O:1O1S:1O1S,,,1L,1,0.03000300030003
2025,1,6,0,1,1,,::1O:1O:1O:1O1S,,,1L,1,0.03000300030003
2026,1,6,0,1,1,,::1O:1O:2O1S:3O1S,,,1L,1,0.03000300030003
2027,1,6,0,1,1,,:::1O:1O:1O1S,,,1L,1,0.03000300030003
2028,1,6,0,1,1,1O,1O:1O:1O:1O:1O1S:1O1S,,,1L,1,0.03000300030003
2029,1,6,0,1,1,1O,:1O:1O:1O:1O1S:2O1S,,,1L,1,0.03000300030003
2030,1,6,0,1,1,1O,:1O:1O:1O:2O1S:2O1S,,,1L,1,0.03000300030003
2031,1,6,0,1,1,1O,::1O1S:1O1S:2O1S:2O1S,,,1L,1,0.03000300030003
2032,1,6,0,1,1,,1O:1O:1O1S:1O1S:2O1S:2O1S,,,1L,1,0.03000300030003
2033,1,5,2,1,1,1O,::1O:1O1S:1O1S,:1O,,1L,1,0.03000300030003
2034,1,5,2,1,1,,:::2O1S:2O1S,1O:2O,,1L,1,0.03000300030003
2035,1,5,1,1,3,1O,1O:1O1S:2O1S:2O1S:2O1S,1O,,1L:1L:1L,1,0.03000300030003
2036,1,5,1,1,2,,1O:1O:1O:1O1S:2O1S,1O,,1L:1L,1,0.03000300030003
2037,1,5,1,1,2,,::1O:2O:2O1S,1O,,1L:1L,1,0.03000300030003
2038,1,5,1,1,2,1O,1O:1O1S:2O1S:2O1S:2O1S,,,1L:1L,1,0.03000300030003
2039,1,5,1,1,2,1O,1O:1O1S:2O1S:2O1S:3O1S,1O,,1L:1L,1,0.03000300030003
2040,1,5,1,1,2,1O,1O:1O:1O1S:2O1S:2O1S,1O,,1L:1L,1,0.03000300030003
2041,1,5,1,1,2,1O,1O:1O:1O:1O1S:1O1S,1O,,1L:1L,1,0.03000300030003
2042,1,5,1,1,2,1O,1O:1O:1O:1O1S:2O1S,1O,,1L:1L,1,0.03000300030003
2043,1,5,1,1,2,1O,1O:1O:1O:1O:2O1S,2O1S,,1L:1L,1,0.03000300030003
2044,1,5,1,1,2,1O,1O:1O:1O:2O1S:3O1S,,,1L:1L,1,0.03000300030003
2045,1,5,1,1,2,1O,:1O1S:1O1S:1O1S:2O1S,2O,,1L:1L,1,0.03000300030003
2046,1,5,1,1,2,1O,:1O:1O1S:1O1S:2O1S,1O,,1L:1L,1,0.03000300030003
2047,1,5,1,1,2,1O,:1O:1O:1O1S:2O,,,1L:1L,1,0.03000300030003
2048,1,5,1,1,2,1O,:1O:1O:1O:1O1S,1N1O1S,,1L:1L,1,0.03000300030003
2049,1,5,1,1,2,1O,::1O:1O:2O,1O,,1L:1L,1,0.03000300030003
2050,1,5,1,1,2,2O,1O:1O:1O:1O1S:2O1S,,,1L:1L,1,0.03000300030003
2051,1,5,1,1,2,2O,1O:1O:1O:2O1S:2O1S,1O,,1L:1L,1,0.03000300030003
2052,1,5,1,1,2,2O,:1O:1O1S:2O1S:2O1S,1N3O2S,,1L:1L,1,0.03000300030003
2053,1,6,0,1,1,1O,::1O:1O:1O1S:2O1S,,,1L,1,0.03000300030003
2054,1,6,0,1,1,1O,::1O:1O:1O:1O1S,,,1L,1,0.03000300030003
2055,1,6,0,1,1,1O,::1O:1O:2O1S:2O1S,,,1L,1,0.03000300030003
2056,1,6,0,1,2,1O,:1O:1O:1O:1O1S:2O1S,,,1L:1L,1,0.03000300030003
2057,1,6,0,1,2,1O,:1O:2O:2O1S:2O1S:3O1S,,,1L:1L,1,0.03000300030003
2058,1,6,0,1,2,1O,::1O:1O:1O1S:2O1S,,,1L:1L,1,0.03000300030003
2059,1,6,0,1,2,2O,1O:1O:1O1S:1O1S:2O1S:2O1S,,,1L:1L,1,0.03000300030003
2060,1,6,0,1,2,2O,1O:1O:1O1S:2O1S:2O1S:3O1S,,,1L:1L,1,0.03000300030003
2061,1,6,0,1,2,2O,1O:1O:1O:1O1S:1O1S:2O1S,,,1L:1L,1,0.03000300030003
2062,1,6,0,1,2,2O,:1O:1O:1O:1O:3O1S,,,1L:1L,1,0.03000300030003
2063,1,6,0,1,2,2O,:1O:1O:2O:2O1S:3O1S,,,1L:1L,1,0.03000300030003
2064,1,6,0,2,2,1O,1O:1O:1O1S:1O1S:1O1S:2O1S,,1S:1S:1S:2S:3S:3S:3S:3S,1L:1L,1,0.03000300030003
2065,1,6,0,2,2,1O,::1O:1O:1S:2O1S,,::1S:1S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
2066,1,6,0,2,2,1O,::1O:1O:2O1S:2O1S,,2S:2S:2S:3S:3S:4S:4S:4S,1L:1L,1,0.03000300030003
2067,1,6,1,1,0,,::1O:1O:1S:2O1S,,,,1,0.03000300030003
2068,1,6,1,1,1,,1O:1O:1O:1O1S:1O1S:1O1S,1O,,1L,1,0.03000300030003
2069,1,6,1,1,1,,:1O:1O1S:2O1S:2O1S:2O1S,1O,,1L,1,0.03000300030003
2070,1,6,1,1,1,,::1O:1O1S:1O1S:2O1S,,,1L,1,0.03000300030003
2071,1,6,1,1,1,,::1O:1O:1O1S:2O1S,1O,,1L,1,0.03000300030003
2072,1,6,1,1,1,,::1O:1O:1O:1O1S,2O,,1L,1,0.03000300030003
2073,1,6,1,1,1,,::1O:1O:1O:3O1S,,,1L,1,0.03000300030003
