,num_dol,num_epe,num_tfsi,num_ps,num_li,atoms_dol,atoms_epe,atoms_tfsi,atoms_ps,atoms_li,count,%
1577,3,1,2,2,2,:1O:1O,1O,1O:2O1S,1S:1S:1S:1S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
1578,3,1,2,2,2,:1O:1O,1O,1O:1O,2S:2S:2S:2S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
1579,3,1,2,2,2,:1O:1O,1O,1O:1O,1S:1S:1S:1S:2S:2S:2S:3S,1L:1L,1,0.03000300030003
1580,3,1,2,2,2,:1O:1O,,1O:1O,1S:1S:1S:1S:2S:2S:2S:3S,1L:1L,1,0.03000300030003
1581,3,1,2,2,2,1O:1O:2O,,1O:2O1S,1S:1S:1S:1S:2S:2S:2S:3S,1L:1L,1,0.03000300030003
1582,3,1,2,2,2,1O:1O:2O,,1O:1O,1S:1S:1S:1S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
1583,3,1,2,2,2,1O:1O:1O,,:1O,1S:1S:1S:1S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
1584,3,1,2,2,2,1O:1O:1O,,2O:3O1S,1S:1S:1S:1S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
1585,3,1,2,2,2,1O:1O:1O,,2O:2O1S,1S:1S:1S:1S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
1586,3,2,3,1,2,1O:1O:1O,:,1O:1O:2O1S,,1L:1L,1,0.03000300030003
1587,3,2,3,1,2,:1O:1O,:1O,1O:1O:1O,,1L:1L,1,0.03000300030003
1588,4,0,1,2,2,1O:1O:1O:2O,,1O,::1S:1S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
1589,4,0,1,2,2,1O:1O:1O:1O,,,2S:2S:2S:3S:3S:3S:3S:3S,1L:1L,1,0.03000300030003
1590,4,0,1,2,2,1O:1O:1O:1O,,1O,1S:2S:2S:2S:2S:3S:3S:3S,1L:1L,1,0.03000300030003
1591,4,0,1,2,2,1O:1O:1O:1O,,1N3O2S,1S:1S:1S:1S:2S:2S:2S:3S,1L:1L,1,0.03000300030003
1592,4,0,1,2,2,1O:1O:1O:1O,,1N3O1S,2S:2S:2S:2S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
1593,4,0,1,2,2,1O:1O:1O:1O,,1N2O1S,1S:1S:1S:1S:2S:2S:2S:3S,1L:1L,1,0.03000300030003
1594,4,0,1,2,2,1O:1O:1O:1O,,1N2O,:1S:1S:1S:1S:2S:2S:2S,1L:1L,1,0.03000300030003
1595,4,0,1,2,2,1O:1O:1O:1O,,1N2O,1S:1S:1S:1S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
1596,4,0,1,2,2,1O:1O:1O:1O,,1N1O,1S:1S:1S:2S:2S:2S:2S:3S,1L:1L,1,0.03000300030003
1597,4,0,1,2,2,1O:1O:1O:1O,,,::1S:1S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
1598,4,0,1,2,2,1O:1O:1O:1O,,,1S:1S:1S:2S:3S:3S:3S:3S,1L:1L,1,0.03000300030003
1599,4,0,1,2,2,1O:1O:1O:1O,,1O,1S:2S:2S:3S:3S:4S:4S:4S,1L:1L,1,0.03000300030003
1600,4,0,1,2,2,1O:1O:1O:1O,,,1S:1S:1S:1S:2S:2S:2S:3S,1L:1L,1,0.03000300030003
1601,4,0,1,2,2,1O:1O:1O:1O,,,1S:1S:1S:1S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
1602,4,0,1,2,1,::1O:1O,,,:::1S:1S:2S:2S:2S,1L,1,0.03000300030003
1603,4,0,1,2,1,1O:1O:1O:2O,,1O,:::1S:1S:2S:2S:2S,1L,1,0.03000300030003
1604,4,0,1,1,2,:1O:1O:2O,,3O,,1L:1L,1,0.03000300030003
1605,4,0,1,1,2,:1O:1O:2O,,2O,,1L:1L,1,0.03000300030003
1606,4,0,1,1,2,:1O:1O:1O,,3O2S,,1L:1L,1,0.03000300030003
1607,4,0,1,1,2,:1O:1O:1O,,1N3O2S,,1L:1L,1,0.03000300030003
1608,4,0,1,2,2,1O:1O:1O:1O,,1O,1S:2S:2S:2S:3S:3S:3S:3S,1L:1L,1,0.03000300030003
1609,4,0,1,2,2,1O:1O:1O:1O,,1O,2S:2S:2S:2S:2S:2S:2S:3S,1L:1L,1,0.03000300030003
1610,3,3,0,1,1,1O:1O:1O,::,,,1L,1,0.03000300030003
