,num_dol,num_pegdme,num_tfsi,num_ps,num_li,atoms_dol,atoms_pegdme,atoms_tfsi,atoms_ps,atoms_li,count,%
1300,1,3,1,1,1,1O,:1O:1O,1O,,1L,1,0.03000300030003
1301,1,3,1,1,1,1O,1O:1O:2O,,,1L,1,0.03000300030003
1302,1,3,1,1,1,,::2O,1O,,1L,1,0.03000300030003
1303,1,3,1,1,1,,:1O:1O,1O,,1L,1,0.03000300030003
1304,1,3,1,1,1,,1O:1O:1O,1O,,1L,1,0.03000300030003
1305,1,3,1,1,0,,::1O,,,,1,0.03000300030003
1306,1,3,1,1,0,,:1O:1O,,,,1,0.03000300030003
1307,1,3,1,1,0,,1O:1O:1O,,,,1,0.03000300030003
1308,1,3,0,2,2,2O,1O:1O:2O,,1S:1S:1S:1S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
1309,1,3,0,2,2,1O,:1O:1O,,1S:2S:2S:3S:3S:3S:3S:4S,1L:1L,1,0.03000300030003
1310,1,3,0,2,2,1O,1O:1O:2O,,2S:2S:2S:3S:3S:4S:4S:4S,1L:1L,1,0.03000300030003
1311,1,3,0,2,2,1O,1O:1O:2O,,2S:2S:2S:2S:2S:2S:3S:3S,1L:1L,1,0.03000300030003
1312,1,3,0,2,2,1O,1O:1O:1O,,3S:3S:3S:3S:4S:4S:5S:5S,1L:1L,1,0.03000300030003
1313,1,3,0,2,2,1O,1O:1O:1O,,2S:2S:2S:2S:2S:2S:3S:3S,1L:1L,1,0.03000300030003
1314,1,3,0,2,2,1O,1O:1O:1O,,1S:1S:1S:1S:2S:2S:2S:3S,1L:1L,1,0.03000300030003
1315,2,3,0,1,2,:,1O:1O:2O,,,1L:1L,1,0.03000300030003
1316,2,3,0,1,2,:,2O:2O:2O,,,1L:1L,1,0.03000300030003
1317,2,3,0,1,2,:1O,1O:1O:1O,,,1L:1L,1,0.03000300030003
1318,2,5,0,1,1,1O:2O,:::1O:2O,,,1L,1,0.03000300030003
1319,0,3,0,2,1,,:1O:1O,,2S:2S:2S:2S:2S:2S:2S:2S,1L,1,0.03000300030003
1320,2,5,0,1,1,:1O,::1O:1O:2O,,,1L,1,0.03000300030003
1321,2,5,0,1,1,:,::::1O,,,1L,1,0.03000300030003
1322,2,5,0,1,1,:,:::2O:2O,,,1L,1,0.03000300030003
1323,2,5,0,1,1,:,:1O:1O:2O:2O,,,1L,1,0.03000300030003
1324,2,5,0,1,1,:,:1O:1O:1O:2O,,,1L,1,0.03000300030003
1325,2,5,0,1,1,:,:1O:1O:1O:1O,,,1L,1,0.03000300030003
1326,2,5,0,1,1,:,1O:1O:1O:1O:1O,,,1L,1,0.03000300030003
1327,2,5,0,1,0,:1O,:::1O:1O,,,,1,0.03000300030003
1328,2,4,1,2,1,:1O,::1O:2O,1O,1S:1S:1S:1S:2S:2S:2S:2S,1L,1,0.03000300030003
1329,2,5,0,1,0,:,:1O:1O:1O:1O,,,,1,0.03000300030003
1330,2,4,2,1,1,:,1O:1O:1O:2O,:1O,,1L,1,0.03000300030003
1331,2,4,1,2,2,:2O,1O:1O:1O:1O,1O,1S:1S:1S:1S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
1332,2,4,1,2,2,:1O,:1O:1O:1O,1O,2S:2S:2S:2S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
1333,2,4,1,2,2,:1O,:1O:1O:1O,1O,1S:1S:1S:1S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
1334,2,4,1,2,2,:,::1O:2O,,1S:1S:1S:1S:2S:2S:2S:3S,1L:1L,1,0.03000300030003
1335,2,4,1,2,2,:,:1O:1O:1O,3O1S,1S:1S:1S:1S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
1336,2,4,1,2,2,:,1O:1O:2O:2O,1O,1S:1S:1S:1S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
1337,2,5,0,1,1,:1O,:::1O:2O,,,1L,1,0.03000300030003
1338,2,5,0,1,1,:1O,:::2O:2O,,,1L,1,0.03000300030003
1339,2,5,0,1,1,:2O,:1O:1O:1O:1O,,,1L,1,0.03000300030003
1340,2,5,0,1,2,1O:1O,1O:1O:1O:1O:2O,,,1L:1L,1,0.03000300030003
1341,2,5,1,1,1,:1O,:1O:1O:1O:1O,,,1L,1,0.03000300030003
1342,2,5,1,1,1,:,::::1O,2O1S,,1L,1,0.03000300030003
1343,2,5,1,1,1,:,::1O:2O:2O,,,1L,1,0.03000300030003
1344,2,5,1,1,1,1O:1O,::1O:1O:1O,1O,,1L,1,0.03000300030003
1345,2,5,1,1,0,:1O,::1O:1O:1O,1O,,,1,0.03000300030003
1346,2,5,1,1,0,:,:::1O:1O,,,,1,0.03000300030003
1347,2,5,0,2,2,:,::1O:1O:2O,,2S:2S:2S:2S:2S:2S:3S:3S,1L:1L,1,0.03000300030003
1348,2,5,0,2,2,:,:1O:1O:1O:1O,,:::1S:1S:2S:2S:2S,1L:1L,1,0.03000300030003
1349,2,5,0,2,1,:1O,:::1O:2O,,2S:2S:2S:2S:2S:2S:2S:2S,1L,1,0.03000300030003
1350,2,5,0,2,1,:1O,:::1O:1O,,1S:1S:1S:1S:2S:2S:2S:2S,1L,1,0.03000300030003
1351,2,5,0,2,1,:,::1O:1O:2O,,:1S:1S:2S:2S:2S:2S:2S,1L,1,0.03000300030003
1352,2,5,0,2,1,1O:1O,::1O:1O:1O,,:::1S:1S:2S:2S:2S,1L,1,0.03000300030003
1353,2,5,0,1,3,:,::1O:2O:2O,,,1L:1L:1L,1,0.03000300030003
1354,2,5,0,1,2,:1O,:1O:1O:1O:2O,,,1L:1L,1,0.03000300030003
1355,2,5,0,1,2,:,::1O:2O:2O,,,1L:1L,1,0.03000300030003
1356,2,5,0,1,2,:,:1O:1O:2O:2O,,,1L:1L,1,0.03000300030003
1357,2,5,0,1,2,:,1O:1O:2O:2O:2O,,,1L:1L,1,0.03000300030003
1358,2,4,1,2,2,:,1O:1O:1O:1O,1O,1S:1S:1S:1S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
1359,2,4,1,2,1,:,::1O:1O,1O,2S:2S:2S:3S:3S:4S:4S:4S,1L,1,0.03000300030003
1360,2,5,1,1,2,1O:1O,::1O:1O:1O,2O1S,,1L:1L,1,0.03000300030003
1361,2,4,1,1,1,:,1O:1O:1O:2O,,,1L,1,0.03000300030003
1362,2,4,1,1,1,:1O,1O:1O:1O:2O,,,1L,1,0.03000300030003
1363,2,4,1,1,1,:,:::2O,,,1L,1,0.03000300030003
1364,2,4,1,1,1,:,:::1O,3O1S,,1L,1,0.03000300030003
1365,2,4,1,1,1,:,::2O:2O,,,1L,1,0.03000300030003
1366,2,4,1,1,1,:,::1O:2O,2O1S,,1L,1,0.03000300030003
1367,2,4,1,1,1,:,::1O:2O,1O,,1L,1,0.03000300030003
1368,2,4,1,1,1,:,::1O:2O,,,1L,1,0.03000300030003
1369,2,4,1,1,1,:,:1O:1O:2O,,,1L,1,0.03000300030003
1370,2,4,1,1,0,:,:::2O,,,,1,0.03000300030003
1371,2,4,1,1,2,:1O,::1O:1O,1O,,1L:1L,1,0.03000300030003
