,num_dmt,num_tfsi,num_dol,num_ps,num_li,atoms_dmt,atoms_tfsi,atoms_dol,atoms_ps,atoms_li,count,%
461,6,0,1,1,1,:::1O:1O:1O1S,,,,1L,2,0.06000600060006
462,2,0,4,1,2,1O:2O1S,,::1O:1O,,1L:1L,2,0.06000600060006
463,3,1,5,1,1,1O:1O:1O,,::::,,1L,2,0.06000600060006
464,4,0,3,1,1,::1O:1O,,::2O,,1L,2,0.06000600060006
465,4,0,3,1,1,::1O:1O1S,,1O:1O:1O,,1L,2,0.06000600060006
466,2,1,3,1,2,1O:2O1S,1O,:1O:1O,,1L:1L,2,0.06000600060006
467,5,0,1,1,1,:1N2O1S:1N2O1S:1O:1O1S,,,,1L,2,0.06000600060006
468,3,0,4,1,2,1O:1O:2O1S,,:1O:1O:1O,,1L:1L,2,0.06000600060006
469,5,0,1,1,1,:1N1O1S:1O:1O:2O1S,,1O,,1L,2,0.06000600060006
470,5,0,2,1,1,::1N1O1S:1O:1O,,:,,1L,2,0.06000600060006
471,2,1,3,1,1,:2O1S,1O,:1O:1O,,1L,2,0.06000600060006
472,3,0,6,1,1,:1O:1O,,:::::1O,,1L,2,0.06000600060006
473,5,0,0,1,1,::1N1O1S:1O:1O,,,,1L,2,0.06000600060006
474,3,1,4,1,1,:1O:1O,1O,::1O:1O,,1L,2,0.06000600060006
475,2,1,3,2,2,1N1O:1O,1O,:1O:1O,2S:2S:2S:3S:3S:4S:4S:4S,1L:1L,2,0.06000600060006
476,3,0,4,1,1,::1O,,:1O:1O:1O,,1L,2,0.06000600060006
477,2,0,4,1,1,:1O,,:1O:1O:1O,,1L,2,0.06000600060006
478,5,1,2,1,1,::1O:1O:1O,,:1O,,1L,2,0.06000600060006
479,4,0,4,1,1,::1O:1O,,:1O:1O:1O,,1L,2,0.06000600060006
480,4,0,4,1,1,::1O1S:2O1S,,:::1O,,1L,2,0.06000600060006
481,5,1,1,1,2,1O:1O:1O:1O:1O1S,1O,,,1L:1L,2,0.06000600060006
482,2,0,4,1,1,1O:1O,,:1O:1O:2O,,1L,2,0.06000600060006
483,3,0,4,1,1,:1O:2O1S,,::1O:1O,,1L,2,0.06000600060006
484,6,0,1,1,2,1O:1O:1O1S:2O1S:2O1S:2O1S,,1O,,1L:1L,2,0.06000600060006
485,5,1,1,1,2,:1O:1O1S:2O1S:2O1S,,,,1L:1L,2,0.06000600060006
486,4,0,4,1,1,:1O:1O:1O1S,,:::,,1L,2,0.06000600060006
487,4,0,1,1,2,:1N2O1S:1O:2O1S,,,,1L:1L,2,0.06000600060006
488,3,1,3,1,1,1O:1O:1O,,::1O,,1L,2,0.06000600060006
489,3,1,3,1,1,1O:1O:1O1S,,::,,1L,2,0.06000600060006
490,3,0,3,1,1,:1N1O:2O1S,,::1O,,1L,2,0.06000600060006
491,3,0,3,1,2,1O:1O1S:1O1S,,1O:1O:1O,,1L:1L,2,0.06000600060006
492,4,0,4,1,1,:1O:1O1S:2O1S,,:::,,1L,2,0.06000600060006
493,3,2,1,1,1,:1N1O1S:1O1S,:1O,,,1L,2,0.06000600060006
494,4,1,2,1,1,::1N1O1S:1O,1O,:,,1L,1,0.03000300030003
495,4,1,2,1,1,::1O:2O1S,1O,:1O,,1L,1,0.03000300030003
496,4,1,2,1,1,::1N1O1S:1O,1O,:2O,,1L,1,0.03000300030003
497,4,1,2,1,1,::1N1O1S:1O1S,1O,:1O,,1L,1,0.03000300030003
