,num_dol,num_tfee,num_tfsi,num_ps,num_li,atoms_dol,atoms_tfee,atoms_tfsi,atoms_ps,atoms_li,count,%
1256,3,0,0,3,2,1O:1O:1O,,,:::1S:1S:2S:2S:2S:3S:3S:3S:4S:4S:4S:5S:5S,1L:1L,1,0.03000300030003
1257,3,0,0,3,2,1O:1O:1O,,,:::1S:1S:2S:2S:2S:3S:3S:3S:4S:4S:4S:4S:5S,1L:1L,1,0.03000300030003
1258,3,0,1,2,2,1O:1O:1O,,1N2O2S,2S:2S:2S:2S:2S:2S:3S:3S,1L:1L,1,0.03000300030003
1259,3,0,1,2,2,1O:1O:1O,,1N4O2S,::1S:1S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
1260,3,0,0,3,2,1O:1O:1O,,,:::1S:1S:2S:2S:2S:2S:2S:2S:3S:3S:4S:4S:4S,1L:1L,1,0.03000300030003
1261,3,0,1,2,2,1O:1O:1O,,2O,3S:3S:3S:4S:4S:4S:5S:5S,1L:1L,1,0.03000300030003
1262,3,0,1,2,2,1O:1O:2O,,1N3O1S,1S:1S:2S:2S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
1263,3,0,1,2,2,1O:1O:1O,,3O1S,1S:1S:1S:1S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
1264,3,0,1,2,2,1O:1O:1O,,2O2S,2S:2S:3S:3S:3S:3S:3S:3S,1L:1L,1,0.03000300030003
1265,3,0,1,2,2,1O:1O:1O,,2O1S,::1S:1S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
1266,3,0,1,2,2,1O:1O:1O,,2O1S,3S:3S:3S:3S:4S:4S:5S:5S,1L:1L,1,0.03000300030003
