,r ($\AA$),g_full(r),O (DOL),O (DOL),O (TFPG),O (TFPG),N (TFSI),O (TFSI),O (TFSI),O (TFSI),O (TFSI),S out (PS),S in (PS),S in (PS),S in (PS),S in (PS),S out (PS),S in (PS),S in (PS),Li
76,3.825,0.9404658750970694,0.861836067527593,0.8245002090065423,0.0776504248803933,0.0247069533710342,2.881753880001729,1.1758880774719698,1.126202665747802,1.1262026657478017,1.1344835677018303,0.0652434699408263,3.4252821718933832,2.7728474724851204,3.523147376804622,3.5231473768046224,0.0652434699408263,0.6850564343786768,0.6198129644378505,0.6810619362190349
77,3.875,0.9385799010142968,1.0474000051459038,1.0504315536412612,0.0928548394873007,0.0619032263248671,2.6384266143207813,1.2909732669459484,1.18608168900659,1.1538073573329408,1.2909732669459484,0.0,2.7017527651046804,3.1467473381807447,3.3692446247187773,3.1467473381807456,0.0635706532965807,0.6357065329658073,0.4132092464277748,0.7171158899935718
78,3.925,0.954840471568988,1.2749981778427206,1.236585718255338,0.0703921642779112,0.0435761016958498,2.8626146806350548,1.55713655704874,1.3447997538148218,1.3290711017234202,1.360528405906223,0.0,2.5713963040336565,3.191009871270682,4.08944954376437,2.633357660757359,0.0,0.4647101754277692,0.6505942455988769,1.1892786938498408
79,3.975,0.9711271748076722,1.404457452913742,1.4145407371910712,0.0849735132167265,0.0326821204679717,3.2357813272558777,1.4798715548824275,1.3955265439823918,1.42619745703695,1.571884294046102,0.1208248090028045,1.7821659327913686,3.3226822475771303,4.530930337605177,2.2352589665518865,0.0604124045014022,0.453093033760517,0.664536449515425,1.7494939181120377
80,4.025,0.9783692383157452,1.4807686807284688,1.5102716620333063,0.0924380685129528,0.0541878332662137,3.59711587299542,1.420898161890083,1.353592459484764,1.5929016235925664,1.5779448008358288,0.1178416338409638,1.7676245076144572,3.712011465990363,3.91823432521205,1.5319412399325305,0.0294604084602409,0.8248914368867467,0.6775893945855419,2.043590374619571
81,4.075,0.9776997923038252,1.5255219228187125,1.4076469135083731,0.1057324902422301,0.0621955824954294,3.728266349932758,1.627012516702553,1.4737960913628507,1.4300199698372218,1.7656369015337132,0.1437094898568636,1.293385408711773,4.13883330787767,3.477769654536098,1.2933854087117738,0.0,0.776031245227064,0.776031245227064,2.6131664380095017
82,4.125,0.9711825935491378,1.2627074265860678,1.2586945851880194,0.0758712089467177,0.0789060573045864,3.9659631790501977,1.9295799309202928,1.5308475466710822,1.6162902004387705,1.6874924119118444,0.1402467801742358,0.9256287491499566,4.01105791298315,4.852538594028567,0.7292832569060265,0.0,0.6731845448363322,1.0378261732893457,2.9752352651248577
83,4.175,0.9643523998761296,1.0198043193539648,1.009358180359302,0.0977655860992302,0.0829526185084378,4.309434109875158,1.6820694428867555,1.5986610407601396,1.8002313458994614,1.9183932489121676,0.2464339153740928,0.6845386538169241,4.07985037674887,4.654862845955088,0.7119201999696011,0.0821446384580309,0.9857356614963708,0.7940648384276321,2.9597216162786437
84,4.2250000000000005,0.962161247178113,0.6987245889813003,0.733150800482203,0.1186084362724509,0.0954653267558751,4.303060660788713,1.9139796630006565,1.7985979102665743,1.900405339149588,1.825746557968712,0.2673730455513488,0.5347460911026978,3.71648533316375,3.8769091604945594,0.4277968728821582,0.1604238273308093,0.9358056594297208,1.1764414004259345,3.439290420632964
85,4.275,0.9677941837655892,0.549218761136926,0.5405010030236419,0.0621635360733695,0.124327072146739,4.75985761003748,1.9225051628285064,1.8429532250562923,1.7832892717271318,1.7368839746933404,0.156693210763452,0.3133864215269041,3.760637058322845,4.570218647267347,0.3395019566541461,0.156693210763452,0.9923903348351968,1.149083545598649,2.9196102332047285
86,4.325,0.9779593206581874,0.4307350026194078,0.4088332228252008,0.1352724133446224,0.1352724133446224,4.456132373035412,1.87183467413842,1.7358190057754193,2.014327279090133,2.0208042156788477,0.127576023717099,0.1786064332039386,4.465160830098467,4.592736853815568,0.2041216379473584,0.1786064332039386,1.0461233944802115,0.9440625755065324,2.3627600310870904
87,4.375,0.9947075125356718,0.3495992178006277,0.381705268414971,0.10521895494595,0.1726670029882257,3.924438733782872,1.936900407318644,1.6457323722315274,1.6900405514839147,1.6583918520179235,0.1994827117856396,0.1994827117856396,3.1917233885702307,4.887326438748166,0.1745473728124346,0.1745473728124346,1.0722195758478124,1.0472842368746074,1.8052676532131533
88,4.425,1.0123724789060795,0.3057092229827672,0.3010596530514703,0.1345021491928919,0.1898853870958475,3.7125027605277854,1.466438590408476,1.3179384799873652,1.528313636417273,1.2993759661847253,0.2193751631220964,0.1706251268727417,4.241253153693865,4.728753516187413,0.2437501812467738,0.1462501087480643,0.9750007249870954,1.4137510512312883,1.4938403964980853
89,4.4750000000000005,1.029290339813414,0.3477881597806859,0.3034622178478534,0.1031477152333589,0.1856658874200461,2.940304967123226,1.288652176949069,1.1918520134223785,1.3370522587124145,1.2765521565082325,0.3336672303382141,0.2383337359558671,4.051673511249744,4.194673752823264,0.1191668679779335,0.166833615169107,1.5253359101175503,1.23933542697051,0.8587310425103755
90,4.525,1.0402672216386302,0.337921606583038,0.3490374489048483,0.1664533608267958,0.2395919587658427,1.9762941570426185,1.2011608199989576,1.035483465516343,1.2070778683733374,1.1479073846295456,0.233095845051298,0.1864766760410384,3.939319781366938,4.335582717954146,0.233095845051298,0.1631670915359086,1.3053367322872684,1.6549804998642166,0.6357808100225709
91,4.575,1.0452148366393073,0.3697229086846741,0.3305757771768853,0.1702365423710301,0.2195804676959663,1.4644707683456548,1.1576844018542731,1.1229538697986443,1.1055886037708302,1.0361275396595744,0.4332546170575841,0.2280287458197811,3.397628312714738,4.674589289305512,0.1140143729098906,0.1824229966558249,1.3453696003367086,1.5962012207384677,0.3762474306026388
92,4.625,1.051389070964457,0.3819888692447095,0.397949406956884,0.2221009121110115,0.3234948067703863,1.0704855416922456,0.9911903163817096,1.0478297630320923,1.0251739843719394,0.9628705930565176,0.1785000742921171,0.1785000742921171,3.9939391622861216,4.194751745864754,0.1338750557190878,0.3570001485842342,1.695750705775113,1.7626882336346574,0.3005358393693808
93,4.675,1.0559444469060528,0.4134348670858824,0.4051036858851593,0.2386405395413674,0.2953472024026826,0.676299655471004,0.9534716454181368,0.95901508521708,0.8093422106456278,0.9811888444128504,0.3057291040628977,0.1965401383261485,3.5813980761653785,3.23199338580778,0.2402157246208482,0.4149180697996468,1.6815100723459386,1.7033478654932883,0.1617779369895508
94,4.7250000000000005,1.062986594931188,0.4434713237087232,0.4353155292497121,0.2613731571790262,0.2521210100222467,0.5915146773598864,1.0419341105788833,0.9605330081899084,0.976813228667703,1.0473608507381489,0.2137806729407428,0.2779148748229657,3.0570636230526262,3.677027574580779,0.2565368075288914,0.2565368075288914,2.3088312677600253,1.4964647105852016,0.136776001973312
95,4.775,1.0676911837966734,0.4601868123925417,0.4771568249970391,0.3170790397538457,0.3578463448650545,0.4729181612152828,0.9883458200678942,0.9245815736119012,0.8714447015652405,1.0361690049098888,0.3977214362280378,0.3139906075484509,3.014309832465128,3.286435025673786,0.3139906075484509,0.2930579003785541,1.8839436452907052,1.7374146951014284,0.1057315311132539
96,4.825,1.0684514638195837,0.479050747137167,0.4868719838251209,0.3438138717827534,0.4214492621853108,0.3590850090157841,0.8690898044295062,1.0460302436546751,0.9887848074347672,0.9835806768693212,0.3280179265493327,0.2665145653213329,2.7061478940319947,3.034165820581326,0.2870156857306662,0.2665145653213329,1.98860867970533,1.7630963552026635,0.0828412620622039
97,4.875,1.0708741707251803,0.5707910781120158,0.5343983583666189,0.3737365897304686,0.3867739126280431,0.3313652903133521,1.1419357696952426,0.994095870940056,0.9889979433967732,0.9482145230505148,0.3414066627470899,0.2811584281446623,2.610756832771865,2.9923289852539066,0.2409929384097105,0.3815721524820415,2.189019190554872,2.3697638943621544,0.0541004555613635
