,r ($\AA$),g_full(r),O (DOL),O (DOL),O (HME),N (TFSI),O (TFSI),O (TFSI),O (TFSI),O (TFSI),S out (PS),S in (PS),S in (PS),S in (PS),S in (PS),S out (PS),S in (PS),S in (PS),Li
66,3.325,0.7420137606698464,0.2438350822734606,0.2397022842688257,0.0134477878646114,1.0889604834674207,0.8579688657622102,0.7919712607035787,1.0449620800949997,0.8359696640759997,0.0,7.929712244165874,2.816564458310283,2.166588044854065,8.7963474621075,0.0,0.7366399352503823,0.823303457044545,0.0145913072408539
67,3.375,0.7363017950560499,0.3068609321276687,0.2426808678918164,0.0087015290852683,1.580063812206502,1.1209912181194777,1.0782867907625455,0.8967929744955822,0.875440760817116,0.1261721717363913,8.62176506865341,3.364591246303771,3.112246902830987,8.369420725180628,0.0,0.9673199833123332,0.5888034681031596,0.0141621825418398
68,3.4250000000000003,0.7535508560210274,0.2960195471825928,0.2882295590988403,0.0168986575359143,1.897101790334757,1.1196010565910033,1.1196010565910035,1.0781343507913366,1.2232678210901702,0.0816768447569194,7.963492363799648,3.4304274797906205,2.491143765086044,8.902776078504221,0.0816768447569194,0.8576068699476542,0.6125763356768962,0.0687585682902638
69,3.475,0.7806531303702958,0.4199924956974373,0.3556693206807126,0.0164158720677017,2.5176265334600365,1.1681787115254552,1.0070506133840131,1.1782492176592954,1.148037699257775,0.0,8.331055074358655,2.7770183581195544,2.697674976458995,7.140904349450276,0.0793433816605586,1.1108073432478218,0.8331055074358662,0.1202295120060506
70,3.5250000000000004,0.801801589865895,0.4633196111638343,0.4872210196762545,0.0199418551851876,3.259020693472202,1.3799456990377796,1.2820772097443205,1.1450613247334764,1.1646350225921684,0.1156627600740884,6.708440084297139,2.621689228346006,3.0072317619263025,7.286753884667579,0.0,0.7710850671605898,0.6939765604445308,0.2336859846394849
71,3.575,0.8231346501517962,0.5398255526016313,0.5308880434525975,0.0310207214100628,3.425403506472709,1.4557964902509013,1.484341519471507,1.3511313831086793,1.2559812857066597,0.1124501151114776,6.484623304761876,3.2985367099366774,2.5863526475639853,7.046873880319265,0.0,1.0120510360032988,1.1619845228186023,0.277682937316098
72,3.625,0.8492820537759059,0.7284450263941578,0.6745505256346859,0.0113140846978121,3.5073952667953527,1.443677207440831,1.6010010056875883,1.4899489128075245,1.5177119360275408,0.145825980549579,5.614300251158793,3.426910542915108,3.572736523464687,6.379886649044083,0.0,0.8384993881600794,0.8749558832974742,0.4173896688179276
73,3.675,0.8880727280871348,0.8677640330845666,0.8085598592873742,0.0,4.150954261843964,1.809852075120687,1.59375033480777,1.6207630523468857,1.5127121821904257,0.1773562262669148,5.7818129763014205,3.6180670158450616,4.292020675659337,5.817284221554805,0.0,1.0286661123481062,1.170551093361638,0.4777759564741378
74,3.725,0.9152221663771578,1.022440848302571,1.0043299798141196,0.0250011533080816,4.189259185409778,1.9193467815998768,1.8141770949368703,1.901818500489376,1.7615922516053657,0.1381016087494031,5.593115154350824,3.521591023109777,3.7287434362338825,5.247861132477316,0.0690508043747015,0.9667112612458216,1.0357620656205229,0.6743022427203
75,3.775,0.9235209811628362,1.218369442047061,1.1622603230054194,0.0173880476385201,4.343561050944858,2.124846172269687,2.013910428335929,2.244315434967582,2.048044503392469,0.0672337842022779,5.849339225598188,3.227221641709343,3.966793267934402,4.067643944237819,0.1344675684045559,0.9412729788318912,1.1093574393375858,0.894277935792545
76,3.825,0.9263266743367448,1.5396199092016476,1.4880910481431748,0.0203237229139146,4.870762588704785,2.4270694128017016,2.219272374034433,2.2192723740344324,2.044722861469927,0.1637188790287571,4.19120330313618,3.798277993467162,4.420409733776438,4.256690854747682,0.0654875516115028,1.342494808035808,1.015057049978294,1.2569600467473157
77,3.875,0.936864940475472,1.8820273351658527,1.8394268781047023,0.0264035076456037,5.7258291248422575,2.559210754526382,2.462025536000064,2.389136622105325,2.63209966842112,0.0638084768102089,3.4775619861563887,3.9242213238278514,4.115646754258479,2.871381456459404,0.0319042384051044,1.4356907282297018,0.92522291374803,1.4181108417615829
78,3.925,0.9462562210000098,2.2006672092063995,2.122071951734743,0.0353857632858729,6.204485294909142,2.754917770894775,2.699661540532988,2.754917770894774,2.644405310171201,0.217676059000976,2.923078506584537,3.296237464871924,4.291328020304959,2.923078506584537,0.0310965798572822,1.0572837151475976,1.0261871352903154,2.198972432764964
79,3.975,0.9525873201796295,2.562060565316044,2.582302578811769,0.047047044354148,7.350075296035597,3.101654810787797,2.562905836209272,2.8399767374210856,3.0862619829426947,0.1515960318078101,2.9106438107099546,4.244688890618685,4.881392224211487,2.3648980962018378,0.0909576190846861,1.6372371435243502,1.33404507990873,2.6136393402293483
80,4.025,0.9513930492794784,2.675073032479076,2.744170859886285,0.0244722393017917,7.303716288620417,3.160189678837818,3.152683290051982,2.972529959191867,3.4904707854146926,0.1478531124483251,1.9812317068075576,3.489333453780474,4.494734618429083,2.336079176683539,0.1182824899586601,1.419389879503921,1.0645424096279406,3.3357472614617
81,4.075,0.95583245395119,2.5589272318245126,2.607079088337339,0.050735193911052,7.989737014330096,3.3980183085693545,3.207612110244346,2.9220028127568383,3.251552002165504,0.1730965439318244,1.875212559261431,4.933251502056994,4.52935956621607,1.384772351454595,0.0865482719659122,1.4424711994318706,1.7598148633068813,4.157849636893007
82,4.125,0.961050987342184,2.207263881032276,2.334812584619908,0.0757253349265357,8.190299878826444,3.630604134767741,3.430492095843536,3.3661703690464697,3.3590235105134614,0.1689257471438105,1.4358688507223891,3.547440690020024,4.927000958361143,1.464023141913024,0.1126171647625403,1.4358688507223891,1.7174117626287395,4.626496993203954
83,4.175,0.97530435450372,1.744478300681055,1.74709960541536,0.0483339010883747,8.762739432431015,3.7046294893478287,3.627885752280356,3.948814107289772,3.5092817949942687,0.2198718637745672,0.9344554210419104,4.919632951955941,4.479889224406808,1.0169073699573727,0.0824519489154626,1.7864588931683585,1.3741991485910443,5.108655447088667
