,r ($\AA$),g_full(r),O (DOL),O (DOL),O (EiPS),O (EiPS),N (TFSI),O (TFSI),O (TFSI),O (TFSI),O (TFSI),S out (PS),S in (PS),S in (PS),S in (PS),S in (PS),S out (PS),S in (PS),S in (PS),Li
81,4.075,0.9500861566509614,0.9323063148027444,0.778321788333823,4.876053686458307,4.81097288776841,1.4232477505210015,0.6333825067763622,0.7451558903251319,0.7377043314218806,0.6706403012926186,0.2054823818775364,2.8473987203030053,2.0254691927928605,1.673213681002797,3.1702996061105604,0.2641916338425469,0.4990286417025883,0.5577378936675987,0.642506864617078
82,4.125,0.9558721734673364,0.7882566830411781,0.6980921404402816,4.721922249882309,4.721922249882308,1.5780266171469872,0.6762971216344236,0.6326650492709124,0.647209073392083,0.6617530975132531,0.2005312416706826,2.3204329393321856,1.6901918940814689,2.033959736945496,2.5209641810028685,0.2578258821480204,0.3724151631026961,0.4583571238187029,0.974301207709017
83,4.175,0.9696195258590464,0.5534457003058297,0.5601137207914421,4.6118855402938905,4.282805806808598,1.5191597194974948,0.7169865965852658,0.7027888421974384,0.631800070258303,0.6885910878096112,0.2237221903536381,2.321117724918996,1.5101247848870576,2.349082998713201,1.8736733442117204,0.3355832855304573,0.3915138331188669,0.5313402020898907,0.828685256105822
84,4.2250000000000005,0.9930657086595236,0.4453615115836213,0.4974505772659162,4.256551547191644,3.8816583310549606,1.5943260949988562,0.561480059543075,0.5684119121300267,0.5961393224778331,0.8595497207819921,0.2457656826282821,1.9661254610262568,2.129969249445113,2.0480473552356844,1.7476670764677835,0.3549948749075185,0.4096094710471367,0.1911510864886638,1.112633073395386
85,4.275,1.008924559009963,0.359960062129479,0.3434247942578068,3.618538449455508,3.5048194535581016,1.52339716427181,0.5551936332012813,0.7176893307236079,0.9072676444996562,0.6906067144698865,0.2933950094153114,1.5736641414093968,2.027092792323969,2.000420518740759,1.3069414055772948,0.4000841037481519,0.5601177452474126,0.5067731980809924,1.5537960192504767
86,4.325,1.012719147713969,0.313161634903406,0.2845794221939682,3.130935590794043,2.844284993766059,1.5809882928389662,0.6615013777568903,0.6747314053120278,0.7805716257531301,0.7408815430877168,0.3127097422123479,1.120543242927581,1.876258453274088,2.37138221177697,1.407193839955566,0.3127097422123479,0.4169463229497974,0.5472420488716092,1.632153399404244
87,4.375,1.012155613473221,0.2380347160217747,0.247750418716541,2.3887573938165785,2.2649763288642646,1.7454633572020557,0.6464679100748361,0.7692968129890544,0.6400032309740878,0.6658619473770812,0.2292022590265327,0.9168090361061314,1.9864195782299516,1.9100188252211072,0.8658752007669017,0.5602721887315247,0.4584045180530656,0.5602721887315247,1.9809623815864612
88,4.425,1.0126776238665431,0.2314986762312051,0.229124330833962,1.6706434117832034,1.579363022066968,1.4345064322328471,0.7140935103185541,0.6129829247867234,0.7140935103185541,0.6508993943611598,0.497893034815833,0.6472609452605828,2.4894651740791627,2.0413614427449134,0.5974716417789997,0.3734197761118746,0.5974716417789996,0.5227876865566247,2.229849520210908
89,4.4750000000000005,1.0117569733396938,0.2159073456497454,0.2426055658107354,1.0897049078179624,1.0606461102761495,1.4705986848275632,0.5870036767168849,0.5190348299391404,0.6055406349289971,0.5746457045754768,0.2434146027853111,0.5841950466847468,2.263755805903395,2.6775606306384234,0.7059023480774023,0.5841950466847469,0.4381462850135601,0.4624877452920912,2.5983266936093234
90,4.525,1.0123045587542934,0.2247856980221876,0.2338679484473265,0.6374237824216984,0.6171236619624088,1.0212990603068677,0.6164053500076957,0.5076279353004554,0.5620166426540758,0.5257575044183287,0.3094845637293539,0.3809040784361279,2.3568439853235383,2.5949090343461187,0.6903886421654818,0.5237431078496759,0.6189691274587079,0.7856146617745138,3.350887026752513
