,r ($\AA$),g_full(r),O (DOL),O (DOL),O (TFEPE),N (TFSI),O (TFSI),O (TFSI),O (TFSI),O (TFSI),S out (PS),S in (PS),S in (PS),S in (PS),S in (PS),S out (PS),S in (PS),S in (PS),Li
78,3.925,0.9325094972744424,2.6152678257547666,2.5749410231874466,0.0,8.268488111581036,2.9575745937578337,3.561810263450293,3.02912881780036,3.267642897942123,0.1566001536284287,2.787482734586031,5.105165008286775,4.322164240144632,3.194643134019945,0.2192402150798001,1.2528012290274295,1.5346815055586014,2.594449075827724
79,3.975,0.9454239001463708,2.8993890065427874,2.8804577875146338,0.0057749189188816,9.077261880190974,3.1161906710817884,3.325487059438028,3.069680362558181,3.4340111126597828,0.1526853562643721,2.5345769139885768,4.947005542965663,5.191302112988657,2.351354486471329,0.0916112137586233,1.5573906338965953,2.290280343965581,3.3522225769226823
80,4.025,0.9501325645826356,3.216963046550273,3.168673093533626,0.0084485034942324,9.337004445042616,3.6440778481866727,3.8028447253898254,3.6894398131018593,3.613836538243214,0.1786986496658872,2.1741669042682923,5.629007464475439,5.2418270568660175,2.35286555393418,0.208481757943535,1.7274202801035752,1.2806736559388578,4.051718362832666
81,4.075,0.9514380217693558,2.9223425733963837,2.962526515847071,0.0109899370322593,10.282058280416075,3.953503040389542,4.0493902409960025,3.99775867143868,4.307548088782633,0.0581134549130077,1.5400065551947046,5.259267669627198,5.084927304888173,1.830573829759743,0.0581134549130077,1.540006555194704,1.7724603748467358,4.823713254998583
82,4.125,0.9514354072107626,2.6152816505071006,2.503043606560829,0.008043849181222,10.962879548070338,4.268540756405589,4.376513962722763,4.297333611423502,4.50608181030337,0.1134263985554145,1.1342639855541452,5.841459525603845,5.217614333549065,2.211814771830583,0.1984961974719754,1.7013959783312178,2.2401713714694367,5.767385142873778
83,4.175,0.9555286550176372,2.02234774437074,1.9220223993497385,0.0104697841584276,11.144561747438347,4.8414899394609225,4.623658026364712,4.813382595835602,4.328530918298879,0.1384073739125477,1.3287107895604584,5.204117259111803,5.397887582589372,1.1903034156479104,0.3875406469551337,1.7992958608631209,1.771614386080611,5.266541809386644
84,4.2250000000000005,0.9602493195082906,1.461738815209678,1.4540047474043345,0.0153351716942602,11.170532271629748,4.6383782651239,4.535455670483576,4.981453580591644,4.844223454404545,0.1892112345913013,0.8379354674757634,5.351974921296805,5.162763686705505,1.000116525696879,0.3513922928124168,1.9461726986533865,1.783991640432271,5.215444948814746
85,4.275,0.9671614325522584,1.082770668263208,1.0852887395847504,0.0099857040372911,11.332986747968649,4.865611105278084,4.966140260345815,4.617639189444353,4.651148907800261,0.2376143665237231,0.6864415032907557,5.887555970532245,5.042704889559007,0.8712526772536515,0.3432207516453778,1.821710143348544,1.9537181247506124,5.023038394370539
86,4.325,0.9761628029783882,0.728215412180361,0.8094015898896579,0.0195123156984747,10.581378708546737,4.662092599310194,4.485299761976806,4.727571427952191,4.544230707754599,0.2837415907819876,0.6706619418483345,6.010162786563917,5.133143324146868,0.4643044212796162,0.3611256609952569,2.424700866682441,2.037780515616093,3.986858882722417
87,4.375,0.9852973324314588,0.5710156193685828,0.6395374936928129,0.0119180458031385,9.816179245297045,4.280980387942451,4.332172978530701,4.2361868711777335,4.319374830883643,0.2772931990196907,0.5041694527630741,5.722323288860888,5.898782597327962,0.7562541791446111,0.4789609801249204,2.1679286468812187,2.5208472638153707,2.809715781903604
