,r ($\AA$),g_full(r),O (DOL),O (DOL),O (TFEiBE),N (TFSI),O (TFSI),O (TFSI),O (TFSI),O (TFSI),S out (PS),S in (PS),S in (PS),S in (PS),S in (PS),S out (PS),S in (PS),S in (PS),Li
77,3.875,0.9412327939619486,2.15707407368199,2.0918919337183044,0.0034280316807167,7.544570339768213,2.888723188916599,2.598237058187556,2.7838254194866665,2.646651413309063,0.0635744057151105,3.305869097185743,4.990590848636171,4.768080428633283,3.46480511147352,0.1589360142877763,1.2714881143022094,1.557572940020207,1.6483935196132236
78,3.925,0.9395532540125714,2.594471560644054,2.536849470174169,0.0033412507629596,7.896249418457808,2.71335263881269,3.012214668594958,2.909972395248392,2.917837185505821,0.0309825070747167,2.943338172098089,5.514886259299577,4.926218624879959,2.5095830730520547,0.1239300282988669,1.7660029032588531,1.456177832511686,2.378697788062948
79,3.975,0.9417865715621958,2.958898346951617,2.8811084196218277,0.0,8.84141254390071,3.343326859619005,3.3279904978776336,3.1439541569811764,3.1286177952398018,0.0,1.9031030706338343,4.772861669208663,4.984317565945757,2.144766952619084,0.1208319409926244,1.6010232181522732,1.7822711296412097,2.970246386237061
80,4.025,0.9413627970922468,3.0305565268704653,3.0375814608687763,0.0031772904096926,9.63276241993346,3.761862963685192,3.806736080548237,3.903961167084834,3.410356881591347,0.2062350320473235,1.4141830768959336,4.537170705041119,4.713943589653111,1.7088045512492518,0.2062350320473235,1.7382666986845836,1.384720929460601,3.760031407894864
81,4.075,0.9372126205983464,2.885366754831788,2.868918108248424,0.0092993982317712,9.923173251625409,3.633632558315774,4.11519831905642,3.889008340526722,3.5971503037142094,0.0862307836036967,1.638384888470238,4.828923881807017,5.0301290435489765,1.9833080228850248,0.2299487562765246,1.7821028611430658,1.552154104866541,4.65558240864448
82,4.125,0.936273328214314,2.54562931349937,2.494796988794707,0.0060502182139022,10.517187401506495,4.258143578944404,4.493124746344344,4.151333957398979,4.436159614853452,0.0841530351570039,1.0378874336030492,5.30164121489125,5.273590203172248,1.3464485625120637,0.1402550585950066,1.795264750016084,1.7952647500160854,5.1290416223753565
83,4.175,0.9403538911366316,1.918285497862892,1.961378364731153,0.0147654307154073,11.23299450314779,4.532124019834379,4.267981822359367,4.78931510684952,4.51822179891464,0.1642989745059869,0.9584106846182572,5.394482996279904,4.901586072761942,1.0131770094535866,0.1095326496706579,1.6703729074775349,2.354951967919147,5.846025756146702
84,4.2250000000000005,0.9524723037932838,1.4243091887295185,1.435785269927876,0.0028836050069947,11.369167279501305,4.771656476113083,4.880257476991902,4.622330099904709,4.60196741223993,0.2139110623370667,1.203249725645999,5.080387730505331,5.107126613297463,0.935860897724666,0.2941277107134667,1.7915051470729328,1.9786773266178663,5.5734199877031365
85,4.275,0.962132630534249,1.0362289838899716,0.9876557502701296,0.0197158323826476,11.270523082915716,4.919251839719679,4.806546608890521,4.859584364574831,4.85958436457483,0.078351229988184,0.6529269165682003,5.354000715859245,4.831659182604688,0.6790439932309283,0.2611707666272801,1.5670245997636814,2.2199515163318817,4.845783724065139
86,4.325,0.971499307857937,0.7970284752442286,0.7872937763099482,0.0165108128983387,11.08916996753655,4.495259320952316,4.94219432548504,4.838557222984697,4.728442801578083,0.3317172409575332,0.5103342168577434,5.052308746891653,5.48609283122074,0.739984614443728,0.2551671084288716,1.5310026505732308,2.3985708192313955,4.089964223674201
87,4.375,0.9769730666289186,0.6278887169896236,0.6374021823985565,0.0161355834877012,10.463677652028297,4.272826627416269,4.234845946283682,4.03861242709864,4.538691395344394,0.1994944867570336,0.723167514494247,5.261667088216768,4.812804493013443,0.7481043253388763,0.3989889735140673,2.443807462773664,2.194439354327371,3.106923065437985
88,4.425,0.9802440008359914,0.5672810148378801,0.4777715104474767,0.0078865007688004,9.096168655953427,3.5704008942075705,3.947860954080468,3.8055399478988834,3.960236693748432,0.0731293707652408,0.5606585092001797,4.43651515975795,4.924044298192889,0.7800466214959023,0.3656468538262042,2.267010493722466,2.5351515198616825,2.109558481156489
89,4.4750000000000005,0.9867350215652416,0.4705646966876555,0.4819309937090962,0.01285208748176,7.042627580928015,3.261147994948623,3.236946525598356,2.898125954694604,3.164342117547553,0.3098521454693416,0.6435390713594017,5.41049515550312,5.005303888350904,0.7150434126215574,0.3813564867314974,2.621825846279042,2.5503215050168864,1.6051994977218642
90,4.525,0.9954667859647628,0.4735628345027768,0.4246502412677483,0.0150835626197147,5.272401300018895,2.7575073016933818,2.82851607341081,2.8581030616264025,2.869937856912641,0.3496644061842954,0.2797315249474363,4.242594795036118,4.94192360740471,0.7459507331931635,0.3729753665965817,2.051364516281201,2.70407140782522,1.4521776869082472
91,4.575,1.0047205058684348,0.4589184621204294,0.4643558846574013,0.0147556721395473,4.092655925658903,2.2344627826086807,2.217096491552136,2.1765751457535334,2.332871765262431,0.387671749848107,0.4788886321653086,5.450208718452791,4.629256777597977,0.8437561614341152,0.4788886321653086,2.759310690095346,2.5084642637230425,0.9521925572499724
92,4.625,1.0162819524162356,0.49161357855654,0.5203442422384157,0.0168447512557499,3.0360535406187665,2.2827044344577674,1.9881619267857975,1.7219408140822865,2.0787903906848646,0.2231382633878562,0.8032977481962823,4.73053118382255,4.596648225789835,0.7809839218574967,0.5578456584696406,3.280132471801484,3.101621861091199,0.5635379611070858
93,4.675,1.0261452073856092,0.5144808058824497,0.5228124788522058,0.0306175367793821,2.2951195439995566,2.1454378346082805,2.0955439314778554,2.0290187273039555,2.112175232521329,0.3712643970311091,0.7643678762405188,4.826437161404416,4.3022991891252005,0.895402369310322,0.6551724653490161,2.8609197653573677,2.8172416010007653,0.4191766691569724
94,4.7250000000000005,1.0353093555223896,0.595408138904081,0.5750174492155855,0.023056139320979,1.5575663595746336,1.9700229565351628,1.8994711702129676,1.8831899887539985,1.9211794121582573,0.5772418880906939,0.6627592048448708,4.382762483651565,4.489659129594285,0.8124145091646803,0.791035179976136,2.5868988318138504,3.057244073961823,0.482343845263992
95,4.775,1.0412781235193584,0.5640366518148813,0.5989769753786348,0.0225758206406326,1.3072442111878952,2.0033783236497418,1.960866316781844,1.7908182893102471,2.1787403519798256,0.6070843404999218,0.607084340499922,4.354260097378747,3.8099775852064015,0.6489522260516406,0.774555882706797,2.7004786180858584,3.286629015809919,0.4088527191121919
96,4.825,1.0479940357623954,0.6384461283266895,0.642356977504801,0.0265324277573833,1.0252742372247337,1.9516641571536817,1.9724819081633207,1.8163487755910257,1.9152330928868129,0.7175815688928694,0.7995908910520544,4.100466107959254,3.485396191765365,0.7175815688928694,0.7790885605122582,3.587907844464347,3.095851911509236,0.5108846038590048
