,r ($\AA$),g_full(r),O (DOL),O (DOL),O (OFE),N (TFSI),O (TFSI),O (TFSI),O (TFSI),O (TFSI),S out (PS),S in (PS),S in (PS),S in (PS),S in (PS),S out (PS),S in (PS),S in (PS),Li
80,4.025,0.9183545222802604,3.107770839229357,3.038868760576696,0.0,10.651643007713346,4.240790437073823,3.912224691498733,4.286636820177322,4.019199585406902,0.1204046424940424,2.408092849880849,5.297804269737864,4.876388021008715,2.3177893680103177,0.1204046424940424,1.8662719586576584,2.0468789223987227,4.66260834964174
81,4.075,0.924718234462672,2.8443149859658643,2.838713183925557,0.0080091880411,10.973326925972405,4.383367005755282,4.20445406674486,4.890286999618137,4.6293722968946085,0.2936702281736687,1.5564522093204445,4.698723650778699,5.286064107126036,1.3508830495988762,0.1468351140868343,2.1731596884851485,1.9088564831288464,5.280670164159577
82,4.125,0.932234921788769,2.449137810236756,2.5174731286027363,0.0078162050097948,11.727433996696178,4.837930277793398,4.663328282805366,5.005257189656929,4.939781441536415,0.2006159285847342,1.8628621940011023,5.301992398310838,5.846521347326544,1.289673826616148,0.2006159285847342,2.0921375409550844,1.7768839388933593,6.2729033063302495
83,4.175,0.937454556152624,1.918532570538909,1.9812384334146589,0.0038150568937945,11.845927734780998,5.1346557267665816,4.957108848247682,4.94290509796617,5.127553851625826,0.2517937549904397,1.482785446054812,4.92396676425749,5.00789801592097,0.9232437682982788,0.1398854194391331,1.9583958721478645,2.1262583754748245,5.878613381817617
84,4.2250000000000005,0.945161443581848,1.4004848332417588,1.3796404078167654,0.0,12.482603994890413,5.353650157808555,5.11786763790507,5.187215437876684,5.090128517916424,0.2458694726266293,1.0107967207983652,5.6276790401206185,4.890070622240733,0.9561590602146698,0.273188302918477,1.912318120429339,1.912318120429338,5.758697920091735
85,4.275,0.9505784123164716,0.9581780729409218,1.0917885611996156,0.0072773284435274,12.862901941733044,5.49331936532149,5.073361534680392,5.276566936603502,5.432357744744557,0.6670884406566845,1.0406579674244278,5.63022643914241,4.82972031035439,0.6670884406566845,0.4002530643940106,2.1613665477276576,2.5616196121216683,4.861032624915834
86,4.325,0.9545152986811594,0.7148570836068107,0.7161003133174318,0.0106650614844968,11.6671944156786,5.075858262521545,4.956737729633164,4.917030885337038,5.18174318064455,0.5214030059087358,0.6517537573859199,5.240100209382796,4.48406585081513,1.0428060118174711,0.2867716532498047,1.8770508212714496,2.5288045786573705,3.818744974397905
87,4.375,0.965023209788506,0.6196376172359541,0.5831883456338393,0.0104226842763072,10.994595669930266,4.456044950930562,4.52718645232423,4.55952349841226,4.423707904842533,0.9426738889904562,1.0191069070167098,5.070056862408132,5.146489880434384,0.8917185436396208,0.484075780832937,1.8343924326300776,2.36942355881385,2.8482998146109866
88,4.425,0.971360558068182,0.5011984519995871,0.5023861260564579,0.0067923177467336,9.084829483452376,4.052453513495458,3.875435263295968,3.989232709852784,3.95130022766718,0.5728187966412055,0.6973446219979892,5.304800160198982,5.40442082048441,0.7471549521407025,0.523008466498492,2.291275186564819,2.1916545262793927,2.4488384757917734
89,4.4750000000000005,0.9841861336073868,0.4621903945358544,0.4494162881542098,0.0066413836334318,7.739357610737373,3.1773401053666204,3.406059140188732,3.368969566974335,3.2329744651882155,0.6818487196990038,0.6331452397205033,4.7729410378930215,5.016458437785524,0.5600900197527529,0.5357382797635029,2.435173998925014,2.532580958882015,1.410413022234529
