,r ($\AA$),g_full(r),O (DOL),O (DOL),O (DMA),N (DMA),N (TFSI),O (TFSI),O (TFSI),O (TFSI),O (TFSI),S out (PS),S in (PS),S in (PS),S in (PS),S in (PS),S out (PS),S in (PS),S in (PS),Li
88,4.425,1.01397697929725,0.452743326661598,0.416906124023477,0.1849281882978233,0.3256000580286463,1.6214955839802234,0.8139271950959561,0.9093092882712634,0.7185451019206487,0.7630567454024588,0.2254485838689081,0.4258473250857154,3.33162907272942,3.4067786006857217,0.3005981118252108,0.1502990559126054,0.7514952795630274,1.0270435487361376,0.9363017717820988
89,4.4750000000000005,1.0180626829249984,0.4181541850649589,0.4193222135148611,0.1854552246269062,0.2240917297575117,1.4238087107622228,0.7150131080246971,0.7274481185990394,0.870450740203979,0.7709706556092383,0.244932026464323,0.391891242342917,3.159623141389768,3.2575959519754973,0.3673980396964846,0.1714524185250261,1.1511805243823188,0.979728105857292,0.5855874877611319
90,4.525,1.027614404192661,0.4523739817313394,0.4466621890327111,0.1889369286544256,0.1707989835036009,1.0763126413827004,0.6992991737797206,0.7601077975866529,0.8026738342515056,0.7540269352059598,0.2395491240879145,0.2395491240879145,3.186003350369263,2.994364051098932,0.2155942116791231,0.1437294744527487,1.221700532848364,1.125880883213198,0.5243192562944662
91,4.575,1.0400905405395495,0.4816535539239028,0.4525978870978667,0.2572830365634161,0.1744793006579487,0.9458393223476572,0.6959949730482758,0.6127135232818153,0.630559548231771,0.6424568981984085,0.3749467868273536,0.1406050450602576,3.1636135138557946,3.2573502105626315,0.1874733934136768,0.1406050450602576,1.1014061863053508,1.312313753895737,0.3550994760450384
92,4.625,1.045673022800956,0.4800437666969278,0.4319300406498553,0.2633250092678816,0.1808550887828858,0.5995374017012479,0.715952431157801,0.7217731826306284,0.7625184429404218,0.5238676325544883,0.3210232630468584,0.4356744284207364,3.141441931244257,3.1643721643190323,0.2980930299720828,0.3210232630468584,1.352883751411759,1.3070232852622092,0.2625277705091656
93,4.675,1.0476661567253407,0.5115693835683742,0.4837434338345298,0.2959561301740319,0.1614306164585627,0.4272682814161349,0.6950230711035793,0.6380539669147612,0.5241157585371253,0.6608416085902885,0.2693084925289579,0.2244237437741315,3.4112409053668014,3.2092595359700824,0.291750866906371,0.2244237437741315,1.1221187188706576,1.1894458420028966,0.1738138995148631
94,4.7250000000000005,1.0465519494982107,0.5804249931132544,0.5154676834146591,0.3091331710185781,0.1732809254588442,0.4126965155143503,0.6748145726653567,0.6915455124835064,0.8421239708468504,0.6469296729684413,0.1977292887599467,0.263639051679929,2.987909252372529,3.2295783830791294,0.2856089726532564,0.1537894468132919,1.5159245471595928,1.2303155745063366,0.1109705192020109
95,4.775,1.0462708605538322,0.5539710356705829,0.5467899296526311,0.3420568128474572,0.2117494555722356,0.3058046378106331,0.6225308698287889,0.6552956524513566,0.6279916669325502,0.6006876814137437,0.2581467721778071,0.2366345411629898,2.7535655698966046,2.581467721778069,0.3226834652222589,0.1936100791333553,1.5919050950964757,1.2261971678445838,0.0651952307285788
96,4.825,1.0479809967452869,0.57570515561476,0.541544640272872,0.2898053482406854,0.2592295546189614,0.2513657468279562,0.6471330928975039,0.7166597888286407,0.6364366781388675,0.7327044109665951,0.4003052189974544,0.4003052189974546,2.5282434884049736,2.3386252267746004,0.316030436050622,0.4213739147341626,1.622289571726525,1.727633050410066,0.0780401689022964
97,4.875,1.0508095999019351,0.6220253003788991,0.6033251726776349,0.3659331017174459,0.2617528592356109,0.2409969493873067,0.5605798605313436,0.7649033610988428,0.72299084816192,0.7963377458015346,0.3095810614659079,0.2063873743106052,2.8068682906242324,2.167067430261356,0.3095810614659078,0.433413486052271,1.7955701565022664,1.9606800559507505,0.0833973471704078
