,r ($\AA$),g_full(r),O (DOL),O (DOL),O (EPE),N (TFSI),O (TFSI),O (TFSI),O (TFSI),O (TFSI),S out (PS),S in (PS),S in (PS),S in (PS),S in (PS),S out (PS),S in (PS),S in (PS),Li
66,3.325,0.7563472647587829,0.2537290098133761,0.214535097728383,0.0035598093139277,1.3066964665485878,0.9992384744195084,1.0651223298757404,1.0211997595715858,0.8235481932028917,0.0432570768146973,8.997471977457042,3.4605661451757834,2.9414812233994163,8.391872902051277,0.0432570768146973,0.5190849217763676,0.6055990754057622,0.0145661585192348
67,3.375,0.7533379332058268,0.3183450659749679,0.2722951507710417,0.0103653500990296,1.758521511031535,0.9272204330893558,1.161689967893561,0.9591935514717472,1.0231397882365307,0.0,8.480950391127296,3.5267318458153105,2.9809281077724648,9.446603158433868,0.1259547087791182,0.7977131556010821,0.9656527673065732,0.0424133203031724
68,3.4250000000000003,0.7635257375854395,0.3460569964085704,0.4043812092864192,0.0067099510077259,2.2353427557122627,0.9210440058258864,1.1590666140730257,1.0245320963681208,1.2729035136694833,0.0407680356681529,8.602055525980271,3.0168346394433203,2.935298568107014,7.745926776949054,0.0407680356681529,0.6522885706904473,0.7338246420267531,0.1098240960856365
69,3.475,0.7853161932301305,0.4136028290783794,0.4249344134366911,0.0097773770273712,2.824934925182616,1.3873345895914622,1.2968562467920184,1.1762184563927611,1.3672282911915858,0.1188099450901778,7.56423317074132,3.564298352705334,3.207868517434801,7.049390075350551,0.1188099450901778,0.9108762456913636,0.5940497254508894,0.1466939117950154
70,3.5250000000000004,0.806109583535901,0.5414433051238151,0.5157476906433625,0.0063346509513619,3.888452394367164,1.377567305542136,1.1919376686251104,1.3189474201999167,1.2994074584191777,0.0,7.081755845383158,3.4254145121690285,3.4639023156765454,6.350487578740332,0.0,0.8467316771653783,1.000682891195447,0.1425619660533545
71,3.575,0.8332546690236641,0.6602357686904156,0.6316850327470463,0.0030793499490042,3.9229260238803714,1.3393040420511684,1.2823123806872885,1.424791534096987,1.51977763637012,0.0374187675621431,5.725071437007897,4.003808129149314,3.741876756214312,6.922471998996477,0.0374187675621431,0.8980504214914349,1.0477254917400074,0.1008015779225079
72,3.625,0.873582311334483,0.782726668466288,0.7462804156108725,0.0029949895470783,4.656148980174831,1.5335728783909155,1.5243344875572349,1.6259567867277167,1.5520496600582747,0.0727873217199047,6.368890650491668,3.4210041208355246,3.894121712014906,6.514465293931478,0.1091809825798571,0.8734478606388573,0.8370541997789048,0.4044152722090628
73,3.675,0.920255767276851,0.8358730232149321,0.8476934498058507,0.0116561955125264,5.114581680572385,1.7528004001961592,1.9235860802152729,1.75280040019616,1.7977440002011893,0.1062303272846157,5.948898327938479,4.036752436815399,3.8242917822461657,4.744954618712835,0.0,1.1331234910359016,0.7790224000871822,0.6081144245578515
74,3.725,0.950593094603964,1.1160077121268477,1.0469763072530218,0.0085090367247394,5.214424977091877,1.863544496846592,1.82854835606074,2.1172665175440164,1.8810425672395183,0.1378635849139605,5.893668255071817,3.549987311534486,3.653385000219956,4.859691368217113,0.0689317924569802,0.896113301940743,1.171840471768664,0.5802931507858031
75,3.775,0.9533582659356328,1.353900031578135,1.265880525979083,0.0,6.073912165671261,2.0189581812960604,2.112665101103049,2.044514613970694,1.984882937729881,0.100676855990981,4.161310047627219,4.429781663603167,3.792161575660286,4.36266375960918,0.1677947599849684,1.00676855990981,0.8054148479278483,0.9831403181976408
