,r ($\AA$),g_full(r),O (DOL),O (DOL),O (TFPE),N (TFSI),O (TFSI),O (TFSI),O (TFSI),O (TFSI),S out (PS),S in (PS),S in (PS),S in (PS),S in (PS),S out (PS),S in (PS),S in (PS),Li
74,3.725,0.939422547679972,1.184293685900616,1.1776309928716402,0.0061638817861656,5.701163921925732,2.2609592536408423,1.8442334304207648,2.021563567961223,2.083629116100384,0.0698573269098773,4.994798874056236,5.16944219133093,4.645512239506851,5.134513527875992,0.0698573269098773,1.432075201652487,1.292360547832733,0.7880334173354023
75,3.775,0.939720260011054,1.480742032396847,1.4661454515736585,0.0120033677119986,6.682090138074065,2.3223284846794883,2.0805991256793925,2.080599125679392,2.4863591211438365,0.1020286255519883,4.047135480228869,5.16945036130074,4.931383568346098,3.502982810618263,0.1020286255519883,1.4624102995784989,1.7004770925331378,0.9734363764398888
76,3.825,0.9321261533456604,1.7092558916498,1.736111113607328,0.0204603169490832,7.038304062755086,2.4890537665179275,2.46382687023565,2.5395075590824794,2.362919285106545,0.0331262274413729,3.7101374734337633,4.7701767515577,4.538293159468084,3.6107587911096446,0.1656311372068645,1.5569326897445266,1.4906802348617807,1.5393555078368606
77,3.875,0.9287303964917968,2.0640880831314767,2.21647042483917,0.014239801823276,7.652600944153058,2.5972960377907035,2.925030553600256,2.630069489371659,2.376075239619256,0.1291075365310359,2.646704498886236,4.809255735781086,4.68014819925005,3.74411855940004,0.1291075365310359,1.7106748590362253,1.6461210907707071,2.01071813908667
78,3.925,0.939250053262569,2.623937595918552,2.689948604620906,0.0166551840138655,7.626579582349189,2.667306367020556,2.691264208640501,2.9787583080798417,3.162435093832753,0.1572989601309526,2.51678336209524,4.970647140138098,4.561669843797621,3.114519410592857,0.1887587521571431,1.4471504332047636,1.6673689773880966,2.489496807786809
79,3.975,0.9502334098179386,2.950358522475302,2.9796134408935013,0.0108258842488734,8.370282235114525,3.581702165723424,3.55834323855566,3.1067373133122724,3.246890876318841,0.0306733387051412,2.423193757706164,5.153120902463734,5.306487595989442,2.2084803867701748,0.214713370935989,1.748380306193055,1.8097269836033376,3.2225785235523965
80,4.025,0.9559382534791852,2.984511205706094,3.2698373247984547,0.0237568324827168,9.211600117755818,3.728685620624988,3.622368719018574,3.728685620624988,3.7514678138263617,0.0897480338235971,2.2137848343153976,4.248073600983597,5.145553939219567,2.2137848343153976,0.2094120789217266,1.794960676471944,2.064204777942736,4.251126255195289
81,4.075,0.954851059606744,2.839346405831326,2.974354543755657,0.0257526962466613,10.157536931738928,4.119322052550578,4.037824673813068,4.067460084263072,3.778514832375532,0.3210502798750451,1.4009466758183793,5.370295590637123,4.465517529171088,1.5176922321365778,0.1167455563181982,1.6052513993752269,2.364097515443516,4.599536662699629
82,4.125,0.9499583747844124,2.4245652994943767,2.4041908011792983,0.0301586156877744,10.534597784199134,4.150212167556832,4.323740202437257,4.099599824050039,4.164672837130201,0.1139325481538143,1.281741166730412,5.069998392844743,4.557301926152578,1.9653364556533,0.1993819592691751,1.5665725371149488,2.3356172371531967,5.514974748006705
83,4.175,0.9543533835355382,1.8205443984773173,2.0234164254015923,0.0220804408039632,10.523764553228409,4.6019413069784845,4.376079156942729,4.376079156942729,4.467835655394755,0.3336599943710001,1.056589982174833,5.394169908997834,4.977094916034082,1.195614979829416,0.3058549948400835,2.224399962473334,2.224399962473334,5.393035011057797
84,4.2250000000000005,0.962592322468028,1.413881562194074,1.4773249656258591,0.0311435587292557,11.30997684801246,4.631507886571834,4.562586638259753,4.383391392648343,4.293793769842636,0.2172063583168607,0.5973174853713669,4.832841472550154,4.669936703812509,1.1131825863739109,0.4072619218441138,1.7376508665348869,2.1992143779582163,5.659278420074635
